Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
================================================================================
Byte-by-byte Description of file: psjac0156t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 38 A38    ---     Reaction  Reaction
  40- 47 E8.2   ---     alpha     The {alpha} value
  49- 53 A5     ---   u_alpha     alpha units
  55- 59 F5.2   ---     beta      The {beta} value
  61- 67 F7.1   K       Ea        Ea
  69- 89 A21    ---     Ref       Reference (1)
  91- 93 A3     ---     Flag      Flag (2)
--------------------------------------------------------------------------------
Note (1): References --
HOCH + H_2 + M => CH_3OH + M           5.18E-34 cm6/s  3.62  4470.0 Est.                      
HOCH + H_2 + M => CH_3OH + M           1.25E-14 cm3/s  2.62  4470.0 Jasper2007                
CH_3 + CHO + M => C_2H_4O + M          1.25E-30 cm6/s  1.0      0.0 Est.                      
CH_3 + CHO + M => C_2H_4O + M          3.01E-11 cm3/s  0.0      0.0 Tsang1986                 
H_2N + HO + M => NH_2OH + M            2.80E-29 cm6/s -2.23   672.0 Est.                      
H_2N + HO + M => NH_2OH + M            6.77E-10 cm3/s -3.23   672.0 Mousavipour2009           
C_2H_3 + CO + M => C_3H_3O + M         1.13E-33 cm6/s  3.65  1300.0 Est.                      
C_2H_3 + CO + M => C_3H_3O + M         2.74E-14 cm3/s  2.65  1300.0 Huynh2008                 
H_2N + HN + M => NH_2NH + M            4.80E-30 cm6/s  1.0      0.0 Est.                      
H_2N + HN + M => NH_2NH + M            1.16E-10 cm3/s  0.0      0.0 Pagsberg1979              
CH_3 + O_2 + M => CH_3O_2 + M          7.14E-31 cm6/s -3.0      0.0 Fernandes2006             
CH_3 + O_2 + M => CH_3O_2 + M          2.19E-12 cm3/s  0.9      0.0 Fernandes2006             
CHO + CHO + M => (CHO)_2 + M           2.07E-30 cm6/s  1.0      0.0 Est.                      
CHO + CHO + M => (CHO)_2 + M           5.00E-11 cm3/s  0.0      0.0 Stoeckel1985              
CH_3O + NO_2 + M => CH_3NO_3 + M       3.98E-29 cm6/s -1.74     0.0 Martinez2000              
CH_3O + NO_2 + M => CH_3NO_3 + M       2.41E-11 cm3/s -0.88     0.0 Martinez2000              
C_2H_5 + CHO + M => (CH_3)_2CO + M     5.96E-32 cm6/s  1.0      0.0 Est.                      
C_2H_5 + CHO + M => (CH_3)_2CO + M     1.44E-12 cm3/s  0.0      0.0 Est.                      
S + S + M => S_2 + M                   3.95E-33 cm6/s  0.0      0.0 Du2008                    
S + S + M => S_2 + M                   9.09E-14 cm3/s  0.0      0.0 Du2008                    
SO + HO + M => HOSO + M                6.45E-29 cm6/s -3.48   490.0 Goumri1999                
SO + HO + M => HOSO + M                8.75E-11 cm3/s  0.5      0.0 Goumri1999                
SO_2 + O + M => SO_3 + M               1.32E-31 cm6/s  0.0   1000.0 Zhang2012                 
SO_2 + O + M => SO_3 + M               5.00E-12 cm3/s  0.0      0.0 Est.                      
SO_2 + H + M => HSO_2 + M              5.74E-31 cm6/s -3.69  2410.0 Goumri1999                
SO_2 + H + M => HSO_2 + M              2.31E-11 cm3/s  0.62  1820.0 Goumri1999                
SO_2 + H + M => HOSO + M               9.43E-28 cm6/s -4.36  5440.0 Goumri1999                
SO_2 + H + M => HOSO + M               9.13E-12 cm3/s  0.96  4320.0 Goumri1999                
SO + O + M => SO_2 + M                 4.82E-31 cm6/s -2.17     0.0 Lu2003                    
SO + O + M => SO_2 + M                 3.50E-11 cm3/s  0.0      0.0 Est.                      
SO_2 + HO + M => HSO_3 + M             1.10E-30 cm6/s -4.3      0.0 Zhang2012                 
SO_2 + HO + M => HSO_3 + M             1.60E-12 cm3/s  0.0      0.0 Est.                      
HS + NO + M => HSNO + M                2.40E-31 cm6/s -3.0      0.0 Burkholder2020            
HS + NO + M => HSNO + M                2.71E-11 cm3/s  0.0      0.0 Atkinson2004              
HS + O_2 + M => HSO_2 + M              9.18E-34 cm6/s -1.69     0.0 Goumri1995                
HS + O_2 + M => HSO_2 + M              2.01E-10 cm3/s  0.31     0.0 Goumri1995                
HS + O_2 + M => HSOO + M               9.06E-34 cm6/s -2.01    10.0 Goumri1995                
HS + O_2 + M => HSOO + M               3.30E-10 cm3/s -0.26   150.0 Goumri1995                
HS + H + M => H_2S + M                 1.00E-30 cm6/s -2.0      0.0 Kras2007                  
HS + H + M => H_2S + M                 2.41E-11 cm3/s -3.0      0.0 Est.                      
HSO + M => H + SO + M                  1.40E-8  cm3/s  0.0  29500.0 Tsuchiya1994              
HSO + M => H + SO + M                  3.38E+11 s-1   -1.0  29500.0 Est.                      
HSOO + M => HSO_2 + M                  3.18E-3  cm3/s -5.64 27900.0 Goumri1999                
HSOO + M => HSO_2 + M                  3.64E+11 s-1    1.04 25200.0 Goumri1999                
HSOO + M => O + HSO + M                4.61E-4  cm3/s -5.87 15600.0 Goumri1999                
HSOO + M => O + HSO + M                4.53E+16 s-1   -1.07 14300.0 Est.                      
H_2S_2 + M => HS + HS + M              3.43E-7  cm3/s  1.0  28700.0 Sendt2002                 
H_2S_2 + M => HS + HS + M              8.28E+12 s-1    0.0  28700.0 Est.                      
CS_2 + HO + M => CS_2OH + M            8.00E-31 cm6/s  0.0      0.0 Atkinson2004              
CS_2 + HO + M => CS_2OH + M            8.00E-12 cm3/s  0.0      0.0 Atkinson2004              
CO + S + M => OCS + M                  3.00E-33 cm6/s  0.0   1000.0 Kras2007                  
CO + S + M => OCS + M                  7.24E-14 cm3/s  0.0   1000.0 Est.                      
CH_3 + HS + M => CH_3SH + M            6.88E-31 cm6/s  1.0      0.0 Est.                      
CH_3 + HS + M => CH_3SH + M            1.66E-11 cm3/s  0.0      0.0 Shum1985                  
PH_3 + M => PH_2 + H + M               3.40E-8  cm3/s  0.0  35600.0 Greaves2020               
PH_3 + M => PH_2 + H + M               1.91E+18 s-1    0.0  40100.0 Cardelino2003             
S_2 + S_2 + M => S_4 + M               2.20E-29 cm6/s  0.0      0.0 Mills1998                 
S_2 + S_2 + M => S_4 + M               1.00E-10 cm3/s  0.0      0.0 Mills1998                 
S_3 + S_3 + M => S_6 + M               1.00E-30 cm6/s  0.0      0.0 Mills1998                 
S_3 + S_3 + M => S_6 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
S_4 + S_4 + M => S_8 + M               1.00E-30 cm6/s  0.0      0.0 Mills1998                 
S_4 + S_4 + M => S_8 + M               3.00E-11 cm3/s  0.0      0.0 Mills1998                 
Cl + O + M => ClO + M                  5.00E-32 cm6/s  0.0      0.0 Yung1982                  
Cl + O + M => ClO + M                  1.21E-12 cm3/s -1.0      0.0 Est.                      
