# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
M40	6.778334e-12
M41	1.595829e-01
M42	9.982099e+02
M43	6.292107e-01
M44	6.986848e+08
M45	0.000000e+00
M46	0.000000e+00
M47	0.000000e+00
M48	5.957082e-25
M49	3.962810e-23
M50	3.548232e-27
M51	0.000000e+00
M52	0.000000e+00
M53	0.000000e+00
M54	2.065077e-63
M55	0.000000e+00
M56	1.683097e+05
M57	2.660192e+09
M58	2.913814e+04
M73	1.532090e+08
M85	5.374177e-15
M86	6.079955e-06
M88	6.774783e+08
M89	2.733951e+11
M90	1.404871e+01
P1	3.656188e+09
P2	1.391439e+10
P3	1.273450e+08
P4	8.020224e+08
P5	2.382287e+09
P6	1.852936e+12
P7	5.225440e+08
P8	5.740698e+01
P9	7.675006e-02
P10	5.582117e-01
P11	2.440146e+03
P12	7.449821e-15
P13	1.979610e-14
P14	9.806892e+02
P15	3.569125e-01
P16	6.543433e-02
P17	4.697848e-02
P18	3.696144e-03
P19	9.622598e-04
P20	2.208197e+10
P21	1.911517e+10
P22	2.906352e+04
P23	3.690154e+03
P24	6.573067e+03
P25	7.593366e-01
P26	6.530435e-05
P27	8.198618e-08
P28	1.756847e-08
P29	1.756847e-08
P30	0.000000e+00
P31	6.317222e-35
P32	8.469598e+08
P33	1.094850e+09
P34	1.239453e+08
P35	2.099907e+07
P36	1.955610e+11
P37	1.366172e+11
P38	0.000000e+00
P39	0.000000e+00
P40	5.922214e+07
P41	5.552542e-02
P42	1.822812e+00
P43	3.605329e-06
P44	1.468962e+01
P45	0.000000e+00
P46	4.856984e-18
P47	4.941852e-17
P48	8.657418e-20
P49	0.000000e+00
P50	0.000000e+00
P51	0.000000e+00
P52	3.442605e-26
P53	9.131889e-26
P54	0.000000e+00
P56	1.009467e+04
P57	6.511862e+02
P58	6.354967e+03
P59	7.943710e+03
P60	1.588742e+03
P61	1.587732e+03
P62	3.552582e+03
P63	7.866431e+03
P64	6.851408e+03
P65	5.582629e+03
P66	1.522535e+03
P67	2.353759e-41
P68	4.006435e-15
P69	6.079081e-06
P70	6.774937e-12
P71	5.199180e+03
P72	7.882911e+08
P73	9.113957e+08
T1	1.012044e-07
T2	8.713967e-22
T3	2.423248e-15
T4	1.014829e-28
T5	5.019474e-44
T6	3.165747e-08
T7	1.730749e-19
T8	4.134836e-21
T9	5.008378e-19
T10	7.416682e-23
T13	6.100259e-09
T14	3.162937e-41
T15	2.784889e-47
T16	1.983062e-46
T17	1.294811e-20
T19	7.239512e-53
T20	3.139156e-42
T21	8.535870e-45
T22	3.607677e-43
T23	1.031069e-19
T24	1.402921e-23
T25	1.563987e-29
T26	5.722878e-52
T27	7.803266e-13
T28	1.410727e-52
T29	1.029955e-49
T30	2.876866e-35
T31	3.591612e-09
T32	7.512778e+02
T33	1.096700e-42
T34	2.872546e-45
T35	1.137521e-45
T36	1.622025e-03
T37	8.581603e-03
T38	6.708134e-02
T40	7.157211e-40
T41	0.000000e+00
T42	0.000000e+00
T43	0.000000e+00
T46	4.993538e+07
T47	2.150630e+02
T48	4.343459e-02
T49	2.644554e-02
T50	7.713669e-12
T51	6.390946e-15
T52	3.839138e-17
T53	1.102379e-43
T54	4.460108e-18
T55	6.034926e-17
T56	4.546680e-18
T57	6.511922e-76
T58	0.000000e+00
T59	0.000000e+00
T60	2.440712e-92
T91	1.832588e-44
T92	2.133656e-32
T93	5.446128e-52
