  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
 43 0.0000E+00 0.0000E+00 0.0000E+00
 44 0.0000E+00 0.0000E+00 0.0000E+00
 45 0.0000E+00 0.0000E+00 0.0000E+00
 46 0.0000E+00 0.0000E+00 0.0000E+00
 47 0.0000E+00 0.0000E+00 0.0000E+00
 48 0.0000E+00 0.0000E+00 0.0000E+00
 49 0.0000E+00 0.0000E+00 0.0000E+00
 50 0.0000E+00 0.0000E+00 0.0000E+00
 51 0.0000E+00 0.0000E+00 0.0000E+00
 52 0.0000E+00 0.0000E+00 0.0000E+00
 53 0.0000E+00 0.0000E+00 0.0000E+00
 54 0.0000E+00 0.0000E+00 0.0000E+00
 55 0.0000E+00 0.0000E+00 0.0000E+00
 56 0.0000E+00 0.0000E+00 0.0000E+00
 57 0.0000E+00 0.0000E+00 0.0000E+00
 58 0.0000E+00 0.0000E+00 0.0000E+00
 59 1.0276E-04 3.4156E-04 2.4351E+04
 60 1.0140E-04 3.3706E-04 2.7969E+04
 61 1.0008E-04 3.3264E-04 3.2057E+04
 62 9.8750E-05 3.2823E-04 3.6713E+04
 63 9.7438E-05 3.2387E-04 4.1987E+04
 64 9.6215E-05 3.1981E-04 4.7819E+04
 65 9.4944E-05 3.1558E-04 5.4473E+04
 66 9.3719E-05 3.1151E-04 6.1857E+04
 67 9.2542E-05 3.0760E-04 7.0017E+04
 68 9.1406E-05 3.0382E-04 7.9012E+04
 69 9.0291E-05 3.0012E-04 8.8999E+04
 70 8.9191E-05 2.9646E-04 1.0010E+05
 71 8.8129E-05 2.9293E-04 1.1225E+05
 72 8.7132E-05 2.8962E-04 1.2529E+05
 73 8.6206E-05 2.8654E-04 1.3908E+05
 74 8.5447E-05 2.8401E-04 1.5257E+05
 75 8.4840E-05 2.8200E-04 1.6547E+05
 76 8.4208E-05 2.7990E-04 1.7943E+05
 77 8.6277E-05 2.8677E-04 1.7663E+05
 78 9.4456E-05 3.1396E-04 1.4227E+05
 79 9.9304E-05 3.3007E-04 1.2914E+05
 80 9.9582E-05 3.3100E-04 1.3471E+05
 81 9.9059E-05 3.2926E-04 1.4346E+05
 82 9.7636E-05 3.2453E-04 1.5636E+05
 83 9.5857E-05 3.1862E-04 1.7150E+05
 84 9.3884E-05 3.1206E-04 1.8821E+05
 85 9.1864E-05 3.0535E-04 2.0554E+05
 86 8.9785E-05 2.9843E-04 2.2324E+05
 87 8.7782E-05 2.9178E-04 2.3982E+05
 88 8.5921E-05 2.8559E-04 2.5395E+05
 89 8.4454E-05 2.8072E-04 2.6231E+05
 90 8.2913E-05 2.7559E-04 2.6822E+05
 91 8.1602E-05 2.7123E-04 2.6799E+05
 92 8.0552E-05 2.6775E-04 2.6046E+05
 93 7.9760E-05 2.6511E-04 2.4504E+05
 94 7.8502E-05 2.6093E-04 2.2883E+05
 95 7.7170E-05 2.5650E-04 2.0622E+05
 96 7.3955E-05 2.4582E-04 1.8905E+05
 97 7.0591E-05 2.3464E-04 1.5845E+05
 98 6.6987E-05 2.2266E-04 1.0852E+05
 99 6.4416E-05 2.1411E-04 2.7063E+04
100 0.0000E+00 0.0000E+00 0.0000E+00

  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
