  i  Z(km)      P(bar)      T(K)  
 31 0.0000E+00 2.2596E-06 4.9934E-06
 32 0.0000E+00 2.2596E-06 4.9488E-06
 33 0.0000E+00 2.2596E-06 4.8995E-06
 34 0.0000E+00 2.2596E-06 4.8472E-06
 35 0.0000E+00 2.2596E-06 4.7930E-06
 36 0.0000E+00 2.2596E-06 4.7377E-06
 37 0.0000E+00 2.2596E-06 4.6880E-06
 38 0.0000E+00 2.2596E-06 4.6340E-06
 39 0.0000E+00 2.2596E-06 4.5870E-06
 40 0.0000E+00 2.2596E-06 4.5341E-06
 41 0.0000E+00 2.2596E-06 4.4914E-06
 42 0.0000E+00 2.2596E-06 4.4470E-06
 43 0.0000E+00 2.2596E-06 4.4065E-06
 44 0.0000E+00 2.2596E-06 4.3772E-06
 45 0.0000E+00 2.2596E-06 4.3444E-06
 46 0.0000E+00 2.2596E-06 4.3214E-06
 47 0.0000E+00 2.2596E-06 4.3002E-06
 48 0.0000E+00 2.2596E-06 4.2765E-06
 49 0.0000E+00 2.2596E-06 4.2475E-06
 50 0.0000E+00 2.2596E-06 4.2154E-06
 51 0.0000E+00 2.2596E-06 4.1796E-06
 52 0.0000E+00 2.2596E-06 4.1365E-06
 53 0.0000E+00 2.2596E-06 4.0889E-06
 54 0.0000E+00 2.2596E-06 4.0363E-06
 55 0.0000E+00 2.2596E-06 3.9784E-06
 56 0.0000E+00 2.2596E-06 3.9148E-06
 57 0.0000E+00 2.2596E-06 3.8450E-06
 58 0.0000E+00 2.2596E-06 3.7797E-06
 59 0.0000E+00 2.2596E-06 3.7145E-06
 60 0.0000E+00 2.2596E-06 3.6432E-06
 61 1.1039E-02 1.1051E-02 3.6151E-06
 62 1.1058E-02 1.1070E-02 3.7353E-06
 63 1.1077E-02 1.1090E-02 3.8660E-06
 64 1.1096E-02 1.1109E-02 4.0079E-06
 65 1.1114E-02 1.1129E-02 4.2449E-06
 66 1.1133E-02 1.1148E-02 4.5346E-06
 67 1.1151E-02 1.1168E-02 4.8476E-06
 68 1.1170E-02 1.1188E-02 5.1985E-06
 69 1.1189E-02 1.1208E-02 5.7906E-06
 70 1.1208E-02 1.1228E-02 6.4272E-06
 71 1.1226E-02 1.1248E-02 7.1109E-06
 72 1.1245E-02 1.1268E-02 8.1989E-06
 73 1.1262E-02 1.1289E-02 1.0428E-05
 74 1.1279E-02 1.1310E-02 1.2808E-05
 75 1.1293E-02 1.1331E-02 1.5345E-05
 76 1.1304E-02 1.1352E-02 2.0776E-05
 77 1.1312E-02 1.1374E-02 3.2604E-05
 78 1.1313E-02 1.1396E-02 4.5146E-05
 79 1.1301E-02 1.1418E-02 5.8434E-05
 80 1.1259E-02 1.1441E-02 8.3288E-05
 81 1.1179E-02 1.1464E-02 1.3739E-04
 82 1.1055E-02 1.1488E-02 1.9438E-04
 83 1.0874E-02 1.1513E-02 2.5429E-04
 84 1.0628E-02 1.1538E-02 3.3224E-04
 85 1.0310E-02 1.1563E-02 4.7307E-04
 86 9.9158E-03 1.1588E-02 6.2029E-04
 87 9.4465E-03 1.1613E-02 7.7397E-04
 88 8.9060E-03 1.1638E-02 9.3730E-04
 89 8.3003E-03 1.1663E-02 1.1738E-03
 90 7.6366E-03 1.1688E-02 1.4192E-03
 91 6.9226E-03 1.1712E-02 1.6734E-03
 92 6.1280E-03 1.1736E-02 1.9362E-03
 93 5.3737E-03 1.1758E-02 3.1785E-03
 94 4.5711E-03 1.1780E-02 4.8926E-03
 95 3.7440E-03 1.1800E-02 6.6544E-03
 96 2.8977E-03 1.1818E-02 8.4611E-03
 97 2.0349E-03 1.1830E-02 1.0265E-02
 98 1.1663E-03 1.1838E-02 1.0265E-02
 99 2.9305E-04 1.1842E-02 1.0265E-02
100 0.0000E+00 1.1843E-02 1.0265E-02

  i  Z(km)      P(bar)      T(K)  
  1 7.3502E+06 1.0000E+01 1.8757E+02
  2 7.2492E+06 1.2023E+01 1.8296E+02
  3 7.1498E+06 1.4436E+01 1.8412E+02
  4 7.0501E+06 1.7308E+01 1.8725E+02
  5 6.9495E+06 2.0724E+01 1.9049E+02
  6 6.8481E+06 2.4778E+01 1.9344E+02
  7 6.7460E+06 2.9585E+01 1.9613E+02
  8 6.6434E+06 3.5275E+01 1.9867E+02
  9 6.5404E+06 4.2001E+01 2.0110E+02
 10 6.4370E+06 4.9940E+01 2.0344E+02
 11 6.3333E+06 5.9296E+01 2.0572E+02
 12 6.2293E+06 7.0308E+01 2.0792E+02
 13 6.1252E+06 8.3249E+01 2.1007E+02
 14 6.0209E+06 9.8434E+01 2.1215E+02
 15 5.9165E+06 1.1623E+02 2.1418E+02
 16 5.8120E+06 1.3705E+02 2.1616E+02
 17 5.7076E+06 1.6137E+02 2.1809E+02
 18 5.6031E+06 1.8974E+02 2.1998E+02
 19 5.4987E+06 2.2280E+02 2.2182E+02
 20 5.3944E+06 2.6125E+02 2.2362E+02
 21 5.2902E+06 3.0590E+02 2.2539E+02
 22 5.1861E+06 3.5770E+02 2.2712E+02
 23 5.0823E+06 4.1768E+02 2.2883E+02
 24 4.9786E+06 4.8703E+02 2.3051E+02
 25 4.8752E+06 5.6712E+02 2.3216E+02
 26 4.7720E+06 6.5945E+02 2.3379E+02
 27 4.6692E+06 7.6576E+02 2.3539E+02
 28 4.5666E+06 8.8796E+02 2.3698E+02
 29 4.4643E+06 1.0282E+03 2.3855E+02
 30 4.3624E+06 1.1890E+03 2.4015E+02
