                  1         2         3         4         5         6         7         8         9
  2.09E-01  2.40E-07  6.23E-06  1.98E-07  4.73E-06  2.60E-07  7.29E-05  1.70E-07  7.29E-05  5.58E-06
  2.26E-01  2.68E-07  1.34E-05  2.07E-07  1.02E-05  4.49E-07  1.59E-04  2.06E-07  1.60E-04  7.39E-06
  2.45E-01  3.00E-07  2.13E-05  2.18E-07  1.65E-05  6.66E-07  2.56E-04  2.50E-07  2.58E-04  9.48E-06
  2.64E-01  3.38E-07  2.95E-05  2.32E-07  2.30E-05  8.95E-07  3.56E-04  2.99E-07  3.60E-04  1.17E-05
  2.85E-01  4.03E-07  4.08E-05  2.52E-07  3.19E-05  1.22E-06  4.92E-04  3.69E-07  4.99E-04  1.48E-05
  3.07E-01  6.90E-07  8.95E-05  3.53E-07  7.05E-05  2.64E-06  1.08E-03  6.71E-07  1.10E-03  2.81E-05
  3.30E-01  1.07E-06  1.50E-04  4.89E-07  1.19E-04  4.46E-06  1.81E-03  1.08E-06  1.83E-03  4.53E-05
  3.55E-01  1.49E-06  2.13E-04  6.39E-07  1.70E-04  6.40E-06  2.53E-03  1.52E-06  2.55E-03  6.38E-05
  3.80E-01  1.99E-06  2.84E-04  8.23E-07  2.28E-04  8.69E-06  3.33E-03  2.07E-06  3.32E-03  8.56E-05
  4.07E-01  3.18E-06  4.56E-04  1.27E-06  3.69E-04  1.42E-05  5.21E-03  3.38E-06  5.11E-03  1.38E-04
  4.36E-01  5.04E-06  7.12E-04  1.96E-06  5.80E-04  2.25E-05  7.80E-03  5.42E-06  7.48E-03  2.18E-04
  4.65E-01  7.03E-06  9.75E-04  2.73E-06  8.00E-04  3.16E-05  1.01E-02  7.72E-06  9.40E-03  3.06E-04
  4.96E-01  9.14E-06  1.24E-03  3.56E-06  1.03E-03  4.12E-05  1.20E-02  1.03E-05  1.09E-02  3.99E-04
  5.29E-01  1.20E-05  1.60E-03  4.71E-06  1.33E-03  5.45E-05  1.44E-02  1.38E-05  1.27E-02  5.29E-04
  5.62E-01  1.69E-05  2.19E-03  6.66E-06  1.83E-03  7.68E-05  1.83E-02  1.99E-05  1.58E-02  7.44E-04
  5.97E-01  2.20E-05  2.78E-03  8.81E-06  2.34E-03  1.01E-04  2.16E-02  2.67E-05  1.84E-02  9.76E-04
  6.33E-01  2.71E-05  3.33E-03  1.11E-05  2.82E-03  1.25E-04  2.45E-02  3.39E-05  2.06E-02  1.21E-03
  6.71E-01  3.28E-05  3.89E-03  1.36E-05  3.31E-03  1.53E-04  2.74E-02  4.23E-05  2.27E-02  1.47E-03
  7.09E-01  4.38E-05  4.99E-03  1.84E-05  4.27E-03  2.06E-04  3.39E-02  5.81E-05  2.75E-02  1.96E-03
  7.49E-01  5.67E-05  6.18E-03  2.43E-05  5.31E-03  2.69E-04  4.04E-02  7.75E-05  3.24E-02  2.54E-03
