  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 54 3.2055E-02 1.2103E+04 5.5049E+07
 55 3.5806E-02 1.7686E+04 6.0539E+07
 56 3.9939E-02 2.4041E+04 6.4814E+07
 57 4.4486E-02 3.0940E+04 6.7983E+07
 58 4.9481E-02 3.8081E+04 7.0123E+07
 59 5.4959E-02 4.5420E+04 7.1464E+07
 60 6.0957E-02 5.2991E+04 7.2199E+07
 61 6.7515E-02 6.0827E+04 7.2461E+07
 62 7.4672E-02 6.8880E+04 7.2316E+07
 63 8.2472E-02 7.6965E+04 7.1776E+07
 64 9.0957E-02 8.4684E+04 7.0804E+07
 65 1.0017E-01 9.1812E+04 6.9432E+07
 66 1.1017E-01 9.8175E+04 6.7705E+07
 67 1.2099E-01 1.0361E+05 6.5663E+07
 68 1.3269E-01 1.0845E+05 6.3466E+07
 69 1.4531E-01 1.1314E+05 6.1223E+07
 70 1.5891E-01 1.1797E+05 5.8974E+07
 71 1.7354E-01 1.2330E+05 5.6778E+07
 72 1.8924E-01 1.2926E+05 5.4640E+07
 73 2.0608E-01 1.3587E+05 5.2548E+07
 74 2.2409E-01 1.4288E+05 5.0461E+07
 75 2.4334E-01 1.4987E+05 4.8330E+07
 76 2.6387E-01 1.5644E+05 4.6124E+07
 77 2.8572E-01 1.6212E+05 4.3821E+07
 78 3.0895E-01 1.6660E+05 4.1420E+07
 79 3.3359E-01 1.6975E+05 3.8942E+07
 80 3.5970E-01 1.7153E+05 3.6409E+07
 81 3.8729E-01 1.7210E+05 3.3855E+07
 82 4.1642E-01 1.7165E+05 3.1311E+07
 83 4.4710E-01 1.7036E+05 2.8800E+07
 84 4.7937E-01 1.6849E+05 2.6345E+07
 85 5.1324E-01 1.6620E+05 2.3963E+07
 86 5.4873E-01 1.6361E+05 2.1661E+07
 87 5.8584E-01 1.6086E+05 1.9447E+07
 88 6.2459E-01 1.5799E+05 1.7327E+07
 89 6.6495E-01 1.5505E+05 1.5302E+07
 90 7.0692E-01 1.5210E+05 1.3375E+07
 91 7.5048E-01 1.4914E+05 1.1548E+07
 92 7.9560E-01 1.4618E+05 9.8206E+06
 93 8.4225E-01 1.4325E+05 8.1966E+06
 94 8.9037E-01 1.4036E+05 6.6780E+06
 95 9.3991E-01 1.3753E+05 5.2672E+06
 96 9.9080E-01 1.3458E+05 5.1289E+06
 97 1.0430E+00 1.3146E+05 5.0278E+06
 98 1.0964E+00 1.2817E+05 4.9283E+06
 99 1.1508E+00 1.2508E+05 4.8348E+06
100 1.2063E+00 1.2229E+05 8.1641E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8051E+08
  2 1.4513E-05 2.7163E+03 4.6293E+08
  3 1.7446E-05 2.7163E+03 4.4239E+08
  4 2.0943E-05 2.7163E+03 4.1810E+08
  5 2.5106E-05 2.7163E+03 3.9146E+08
  6 3.0053E-05 2.7163E+03 3.6456E+08
  7 3.5924E-05 2.7163E+03 3.3890E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7422E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1179E+08
 15 1.4233E-04 2.7163E+03 1.9915E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5708E+08
 20 3.2141E-04 2.7163E+03 1.4834E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2566E+08
 24 6.0121E-04 2.7163E+03 1.1911E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0712E+08
 27 9.4745E-04 2.7163E+03 1.0156E+08
 28 1.0994E-03 2.7163E+03 9.6246E+07
 29 1.2740E-03 2.7163E+03 9.1168E+07
 30 1.4742E-03 2.7163E+03 8.6332E+07
 31 1.7035E-03 2.7163E+03 8.1757E+07
 32 1.9657E-03 2.7163E+03 7.7463E+07
 33 2.2649E-03 2.7163E+03 7.3469E+07
 34 2.6061E-03 2.7163E+03 6.9779E+07
 35 2.9945E-03 2.7163E+03 6.6381E+07
 36 3.4358E-03 2.7163E+03 6.3241E+07
 37 3.9366E-03 2.7163E+03 6.0326E+07
 38 4.5041E-03 2.7163E+03 5.7598E+07
 39 5.1461E-03 2.7163E+03 5.5058E+07
 40 5.8713E-03 2.7163E+03 5.2675E+07
 41 6.6892E-03 2.7163E+03 5.0441E+07
 42 7.6103E-03 2.7163E+03 4.8277E+07
 43 8.6461E-03 2.7163E+03 4.6255E+07
 44 9.8089E-03 2.7163E+03 4.4361E+07
 45 1.1112E-02 2.7163E+03 4.2637E+07
 46 1.2571E-02 2.7163E+03 4.1063E+07
 47 1.4202E-02 2.7163E+03 3.9653E+07
 48 1.6021E-02 2.7163E+03 3.8368E+07
 49 1.8048E-02 2.7163E+03 3.7419E+07
 50 2.0303E-02 2.7163E+03 3.6771E+07
 51 2.2807E-02 2.7163E+03 3.6065E+07
 52 2.5583E-02 4.2830E+03 4.1067E+07
 53 2.8657E-02 7.4667E+03 4.8206E+07
 54 3.2055E-02 1.2101E+04 5.5047E+07
 55 3.5806E-02 1.7685E+04 6.0538E+07
 56 3.9939E-02 2.4040E+04 6.4813E+07
 57 4.4486E-02 3.0938E+04 6.7982E+07
 58 4.9481E-02 3.8080E+04 7.0122E+07
 59 5.4959E-02 4.5419E+04 7.1464E+07
 60 6.0957E-02 5.2989E+04 7.2199E+07
 61 6.7515E-02 6.0825E+04 7.2461E+07
 62 7.4672E-02 6.8879E+04 7.2316E+07
 63 8.2472E-02 7.6963E+04 7.1776E+07
 64 9.0957E-02 8.4683E+04 7.0804E+07
 65 1.0017E-01 9.1810E+04 6.9432E+07
 66 1.1017E-01 9.8173E+04 6.7705E+07
 67 1.2099E-01 1.0360E+05 6.5663E+07
 68 1.3269E-01 1.0845E+05 6.3466E+07
 69 1.4531E-01 1.1314E+05 6.1223E+07
 70 1.5891E-01 1.1797E+05 5.8974E+07
 71 1.7354E-01 1.2330E+05 5.6778E+07
 72 1.8924E-01 1.2926E+05 5.4640E+07
 73 2.0608E-01 1.3587E+05 5.2548E+07
 74 2.2409E-01 1.4288E+05 5.0461E+07
 75 2.4334E-01 1.4987E+05 4.8330E+07
 76 2.6387E-01 1.5644E+05 4.6124E+07
 77 2.8572E-01 1.6211E+05 4.3821E+07
 78 3.0895E-01 1.6660E+05 4.1420E+07
 79 3.3359E-01 1.6975E+05 3.8942E+07
 80 3.5970E-01 1.7153E+05 3.6409E+07
 81 3.8729E-01 1.7210E+05 3.3855E+07
 82 4.1642E-01 1.7165E+05 3.1311E+07
 83 4.4710E-01 1.7036E+05 2.8800E+07
 84 4.7937E-01 1.6849E+05 2.6346E+07
 85 5.1324E-01 1.6620E+05 2.3963E+07
 86 5.4873E-01 1.6361E+05 2.1661E+07
 87 5.8584E-01 1.6086E+05 1.9447E+07
 88 6.2459E-01 1.5799E+05 1.7327E+07
 89 6.6495E-01 1.5505E+05 1.5302E+07
 90 7.0692E-01 1.5210E+05 1.3375E+07
 91 7.5048E-01 1.4914E+05 1.1548E+07
 92 7.9560E-01 1.4618E+05 9.8206E+06
 93 8.4225E-01 1.4325E+05 8.1966E+06
 94 8.9037E-01 1.4036E+05 6.6780E+06
 95 9.3991E-01 1.3753E+05 5.2672E+06
 96 9.9080E-01 1.3458E+05 5.1290E+06
 97 1.0430E+00 1.3146E+05 5.0278E+06
 98 1.0964E+00 1.2817E+05 4.9283E+06
 99 1.1508E+00 1.2508E+05 4.8349E+06
100 1.2063E+00 1.2229E+05 8.1641E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8074E+08
  2 1.4513E-05 2.7163E+03 4.6308E+08
  3 1.7446E-05 2.7163E+03 4.4246E+08
  4 2.0943E-05 2.7163E+03 4.1813E+08
  5 2.5106E-05 2.7163E+03 3.9147E+08
  6 3.0053E-05 2.7163E+03 3.6457E+08
  7 3.5924E-05 2.7163E+03 3.3890E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7422E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1179E+08
 15 1.4233E-04 2.7163E+03 1.9915E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5708E+08
 20 3.2141E-04 2.7163E+03 1.4834E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2566E+08
 24 6.0121E-04 2.7163E+03 1.1911E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0712E+08
 27 9.4745E-04 2.7163E+03 1.0156E+08
 28 1.0994E-03 2.7163E+03 9.6247E+07
 29 1.2740E-03 2.7163E+03 9.1168E+07
 30 1.4742E-03 2.7163E+03 8.6332E+07
 31 1.7035E-03 2.7163E+03 8.1757E+07
 32 1.9657E-03 2.7163E+03 7.7463E+07
 33 2.2649E-03 2.7163E+03 7.3469E+07
 34 2.6061E-03 2.7163E+03 6.9780E+07
 35 2.9945E-03 2.7163E+03 6.6380E+07
 36 3.4358E-03 2.7163E+03 6.3244E+07
 37 3.9366E-03 2.7163E+03 6.0325E+07
 38 4.5041E-03 2.7163E+03 5.7594E+07
 39 5.1461E-03 2.7163E+03 5.5061E+07
 40 5.8713E-03 2.7163E+03 5.2676E+07
 41 6.6892E-03 2.7163E+03 5.0441E+07
 42 7.6103E-03 2.7163E+03 4.8277E+07
 43 8.6461E-03 2.7163E+03 4.6255E+07
 44 9.8089E-03 2.7163E+03 4.4361E+07
 45 1.1112E-02 2.7163E+03 4.2637E+07
 46 1.2571E-02 2.7163E+03 4.1064E+07
 47 1.4202E-02 2.7163E+03 3.9653E+07
 48 1.6021E-02 2.7163E+03 3.8369E+07
 49 1.8048E-02 2.7163E+03 3.7419E+07
 50 2.0303E-02 2.7163E+03 3.6772E+07
 51 2.2807E-02 2.7163E+03 3.6066E+07
 52 2.5583E-02 4.2788E+03 4.1054E+07
 53 2.8657E-02 7.4628E+03 4.8198E+07
 54 3.2055E-02 1.2098E+04 5.5041E+07
 55 3.5806E-02 1.7681E+04 6.0534E+07
 56 3.9939E-02 2.4036E+04 6.4810E+07
 57 4.4486E-02 3.0935E+04 6.7980E+07
 58 4.9481E-02 3.8077E+04 7.0121E+07
 59 5.4959E-02 4.5416E+04 7.1463E+07
 60 6.0957E-02 5.2987E+04 7.2198E+07
 61 6.7515E-02 6.0823E+04 7.2461E+07
 62 7.4672E-02 6.8877E+04 7.2315E+07
 63 8.2472E-02 7.6962E+04 7.1776E+07
 64 9.0957E-02 8.4681E+04 7.0804E+07
 65 1.0017E-01 9.1809E+04 6.9431E+07
 66 1.1017E-01 9.8172E+04 6.7705E+07
 67 1.2099E-01 1.0360E+05 6.5663E+07
 68 1.3269E-01 1.0845E+05 6.3466E+07
 69 1.4531E-01 1.1313E+05 6.1223E+07
 70 1.5891E-01 1.1797E+05 5.8974E+07
 71 1.7354E-01 1.2330E+05 5.6778E+07
 72 1.8924E-01 1.2926E+05 5.4640E+07
 73 2.0608E-01 1.3587E+05 5.2548E+07
 74 2.2409E-01 1.4287E+05 5.0461E+07
 75 2.4334E-01 1.4987E+05 4.8330E+07
 76 2.6387E-01 1.5643E+05 4.6124E+07
 77 2.8572E-01 1.6211E+05 4.3821E+07
 78 3.0895E-01 1.6660E+05 4.1420E+07
 79 3.3359E-01 1.6975E+05 3.8942E+07
 80 3.5970E-01 1.7153E+05 3.6409E+07
 81 3.8729E-01 1.7210E+05 3.3855E+07
 82 4.1642E-01 1.7165E+05 3.1311E+07
 83 4.4710E-01 1.7036E+05 2.8800E+07
 84 4.7937E-01 1.6849E+05 2.6346E+07
 85 5.1324E-01 1.6620E+05 2.3963E+07
 86 5.4873E-01 1.6361E+05 2.1661E+07
 87 5.8584E-01 1.6086E+05 1.9447E+07
 88 6.2459E-01 1.5799E+05 1.7327E+07
 89 6.6495E-01 1.5505E+05 1.5302E+07
 90 7.0692E-01 1.5210E+05 1.3375E+07
 91 7.5048E-01 1.4914E+05 1.1548E+07
 92 7.9560E-01 1.4618E+05 9.8206E+06
 93 8.4225E-01 1.4325E+05 8.1967E+06
 94 8.9037E-01 1.4036E+05 6.6780E+06
 95 9.3991E-01 1.3753E+05 5.2672E+06
 96 9.9080E-01 1.3458E+05 5.1290E+06
 97 1.0430E+00 1.3146E+05 5.0279E+06
 98 1.0964E+00 1.2817E+05 4.9283E+06
 99 1.1508E+00 1.2508E+05 4.8349E+06
100 1.2063E+00 1.2229E+05 8.1642E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8081E+08
  2 1.4513E-05 2.7163E+03 4.6314E+08
  3 1.7446E-05 2.7163E+03 4.4251E+08
  4 2.0943E-05 2.7163E+03 4.1816E+08
  5 2.5106E-05 2.7163E+03 3.9148E+08
  6 3.0053E-05 2.7163E+03 3.6457E+08
  7 3.5924E-05 2.7163E+03 3.3890E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7422E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1179E+08
 15 1.4233E-04 2.7163E+03 1.9915E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5708E+08
 20 3.2141E-04 2.7163E+03 1.4834E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2566E+08
 24 6.0121E-04 2.7163E+03 1.1911E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0712E+08
 27 9.4745E-04 2.7163E+03 1.0156E+08
 28 1.0994E-03 2.7163E+03 9.6247E+07
 29 1.2740E-03 2.7163E+03 9.1169E+07
 30 1.4742E-03 2.7163E+03 8.6332E+07
 31 1.7035E-03 2.7163E+03 8.1757E+07
 32 1.9657E-03 2.7163E+03 7.7463E+07
 33 2.2649E-03 2.7163E+03 7.3469E+07
 34 2.6061E-03 2.7163E+03 6.9779E+07
 35 2.9945E-03 2.7163E+03 6.6381E+07
 36 3.4358E-03 2.7163E+03 6.3242E+07
 37 3.9366E-03 2.7163E+03 6.0326E+07
 38 4.5041E-03 2.7163E+03 5.7596E+07
 39 5.1461E-03 2.7163E+03 5.5059E+07
 40 5.8713E-03 2.7163E+03 5.2676E+07
 41 6.6892E-03 2.7163E+03 5.0441E+07
 42 7.6103E-03 2.7163E+03 4.8277E+07
 43 8.6461E-03 2.7163E+03 4.6255E+07
 44 9.8089E-03 2.7163E+03 4.4361E+07
 45 1.1112E-02 2.7163E+03 4.2638E+07
 46 1.2571E-02 2.7163E+03 4.1064E+07
 47 1.4202E-02 2.7163E+03 3.9653E+07
 48 1.6021E-02 2.7163E+03 3.8369E+07
 49 1.8048E-02 2.7163E+03 3.7420E+07
 50 2.0303E-02 2.7163E+03 3.6772E+07
 51 2.2807E-02 2.7163E+03 3.6066E+07
 52 2.5583E-02 4.2770E+03 4.1049E+07
 53 2.8657E-02 7.4611E+03 4.8195E+07
 54 3.2055E-02 1.2096E+04 5.5040E+07
 55 3.5806E-02 1.7680E+04 6.0533E+07
 56 3.9939E-02 2.4035E+04 6.4809E+07
 57 4.4486E-02 3.0934E+04 6.7980E+07
 58 4.9481E-02 3.8076E+04 7.0121E+07
 59 5.4959E-02 4.5415E+04 7.1462E+07
 60 6.0957E-02 5.2986E+04 7.2198E+07
 61 6.7515E-02 6.0822E+04 7.2460E+07
 62 7.4672E-02 6.8876E+04 7.2315E+07
 63 8.2472E-02 7.6960E+04 7.1775E+07
 64 9.0957E-02 8.4680E+04 7.0803E+07
 65 1.0017E-01 9.1807E+04 6.9431E+07
 66 1.1017E-01 9.8171E+04 6.7705E+07
 67 1.2099E-01 1.0360E+05 6.5663E+07
 68 1.3269E-01 1.0844E+05 6.3466E+07
 69 1.4531E-01 1.1313E+05 6.1223E+07
 70 1.5891E-01 1.1797E+05 5.8974E+07
 71 1.7354E-01 1.2330E+05 5.6778E+07
 72 1.8924E-01 1.2926E+05 5.4640E+07
 73 2.0608E-01 1.3587E+05 5.2548E+07
 74 2.2409E-01 1.4287E+05 5.0461E+07
 75 2.4334E-01 1.4987E+05 4.8330E+07
 76 2.6387E-01 1.5643E+05 4.6124E+07
 77 2.8572E-01 1.6211E+05 4.3821E+07
 78 3.0895E-01 1.6660E+05 4.1420E+07
 79 3.3359E-01 1.6975E+05 3.8942E+07
 80 3.5970E-01 1.7153E+05 3.6410E+07
 81 3.8729E-01 1.7210E+05 3.3855E+07
 82 4.1642E-01 1.7164E+05 3.1311E+07
 83 4.4710E-01 1.7036E+05 2.8800E+07
 84 4.7937E-01 1.6849E+05 2.6346E+07
 85 5.1324E-01 1.6620E+05 2.3963E+07
 86 5.4873E-01 1.6361E+05 2.1661E+07
 87 5.8584E-01 1.6086E+05 1.9447E+07
 88 6.2459E-01 1.5799E+05 1.7327E+07
 89 6.6495E-01 1.5505E+05 1.5302E+07
 90 7.0692E-01 1.5210E+05 1.3375E+07
 91 7.5048E-01 1.4914E+05 1.1548E+07
 92 7.9560E-01 1.4618E+05 9.8206E+06
 93 8.4225E-01 1.4325E+05 8.1967E+06
 94 8.9037E-01 1.4036E+05 6.6780E+06
 95 9.3991E-01 1.3753E+05 5.2672E+06
 96 9.9080E-01 1.3458E+05 5.1290E+06
 97 1.0430E+00 1.3146E+05 5.0279E+06
 98 1.0964E+00 1.2817E+05 4.9283E+06
 99 1.1508E+00 1.2508E+05 4.8349E+06
100 1.2063E+00 1.2229E+05 8.1642E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8070E+08
  2 1.4513E-05 2.7163E+03 4.6307E+08
  3 1.7446E-05 2.7163E+03 4.4248E+08
  4 2.0943E-05 2.7163E+03 4.1815E+08
  5 2.5106E-05 2.7163E+03 3.9149E+08
  6 3.0053E-05 2.7163E+03 3.6457E+08
  7 3.5924E-05 2.7163E+03 3.3890E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7422E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1179E+08
 15 1.4233E-04 2.7163E+03 1.9915E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5708E+08
 20 3.2141E-04 2.7163E+03 1.4834E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2566E+08
 24 6.0121E-04 2.7163E+03 1.1911E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0712E+08
 27 9.4745E-04 2.7163E+03 1.0156E+08
 28 1.0994E-03 2.7163E+03 9.6247E+07
 29 1.2740E-03 2.7163E+03 9.1169E+07
 30 1.4742E-03 2.7163E+03 8.6333E+07
 31 1.7035E-03 2.7163E+03 8.1757E+07
 32 1.9657E-03 2.7163E+03 7.7464E+07
 33 2.2649E-03 2.7163E+03 7.3469E+07
 34 2.6061E-03 2.7163E+03 6.9780E+07
 35 2.9945E-03 2.7163E+03 6.6380E+07
 36 3.4358E-03 2.7163E+03 6.3242E+07
 37 3.9366E-03 2.7163E+03 6.0321E+07
 38 4.5041E-03 2.7163E+03 5.7601E+07
 39 5.1461E-03 2.7163E+03 5.5059E+07
 40 5.8713E-03 2.7163E+03 5.2686E+07
 41 6.6892E-03 2.7163E+03 5.0427E+07
 42 7.6103E-03 2.7163E+03 4.8277E+07
 43 8.6461E-03 2.7163E+03 4.6269E+07
 44 9.8089E-03 2.7163E+03 4.4353E+07
 45 1.1112E-02 2.7163E+03 4.2638E+07
 46 1.2571E-02 2.7163E+03 4.1064E+07
 47 1.4202E-02 2.7163E+03 3.9654E+07
 48 1.6021E-02 2.7163E+03 3.8369E+07
 49 1.8048E-02 2.7163E+03 3.7420E+07
 50 2.0303E-02 2.7163E+03 3.6773E+07
 51 2.2807E-02 2.7163E+03 3.6067E+07
 52 2.5583E-02 4.2736E+03 4.1038E+07
 53 2.8657E-02 7.4578E+03 4.8188E+07
 54 3.2055E-02 1.2093E+04 5.5035E+07
 55 3.5806E-02 1.7677E+04 6.0530E+07
 56 3.9939E-02 2.4032E+04 6.4807E+07
 57 4.4486E-02 3.0932E+04 6.7978E+07
 58 4.9481E-02 3.8073E+04 7.0119E+07
 59 5.4959E-02 4.5413E+04 7.1461E+07
 60 6.0957E-02 5.2984E+04 7.2197E+07
 61 6.7515E-02 6.0820E+04 7.2460E+07
 62 7.4672E-02 6.8874E+04 7.2315E+07
 63 8.2472E-02 7.6959E+04 7.1775E+07
 64 9.0957E-02 8.4678E+04 7.0803E+07
 65 1.0017E-01 9.1806E+04 6.9431E+07
 66 1.1017E-01 9.8169E+04 6.7705E+07
 67 1.2099E-01 1.0360E+05 6.5663E+07
 68 1.3269E-01 1.0844E+05 6.3466E+07
 69 1.4531E-01 1.1313E+05 6.1223E+07
 70 1.5891E-01 1.1797E+05 5.8974E+07
 71 1.7354E-01 1.2330E+05 5.6778E+07
 72 1.8924E-01 1.2926E+05 5.4640E+07
 73 2.0608E-01 1.3587E+05 5.2548E+07
 74 2.2409E-01 1.4287E+05 5.0461E+07
 75 2.4334E-01 1.4987E+05 4.8330E+07
 76 2.6387E-01 1.5643E+05 4.6124E+07
 77 2.8572E-01 1.6211E+05 4.3821E+07
 78 3.0895E-01 1.6660E+05 4.1420E+07
 79 3.3359E-01 1.6975E+05 3.8942E+07
 80 3.5970E-01 1.7153E+05 3.6410E+07
 81 3.8729E-01 1.7210E+05 3.3855E+07
 82 4.1642E-01 1.7164E+05 3.1311E+07
 83 4.4710E-01 1.7036E+05 2.8800E+07
 84 4.7937E-01 1.6849E+05 2.6346E+07
 85 5.1324E-01 1.6620E+05 2.3963E+07
 86 5.4873E-01 1.6361E+05 2.1661E+07
 87 5.8584E-01 1.6086E+05 1.9447E+07
 88 6.2459E-01 1.5799E+05 1.7327E+07
 89 6.6495E-01 1.5505E+05 1.5302E+07
 90 7.0692E-01 1.5210E+05 1.3375E+07
 91 7.5048E-01 1.4914E+05 1.1548E+07
 92 7.9560E-01 1.4618E+05 9.8207E+06
 93 8.4225E-01 1.4325E+05 8.1967E+06
 94 8.9037E-01 1.4036E+05 6.6780E+06
 95 9.3991E-01 1.3753E+05 5.2672E+06
 96 9.9080E-01 1.3458E+05 5.1290E+06
 97 1.0430E+00 1.3146E+05 5.0279E+06
 98 1.0964E+00 1.2817E+05 4.9284E+06
 99 1.1508E+00 1.2508E+05 4.8349E+06
100 1.2063E+00 1.2229E+05 8.1642E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8073E+08
  2 1.4513E-05 2.7163E+03 4.6309E+08
  3 1.7446E-05 2.7163E+03 4.4249E+08
  4 2.0943E-05 2.7163E+03 4.1816E+08
  5 2.5106E-05 2.7163E+03 3.9149E+08
  6 3.0053E-05 2.7163E+03 3.6457E+08
  7 3.5924E-05 2.7163E+03 3.3891E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7422E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1179E+08
 15 1.4233E-04 2.7163E+03 1.9915E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5708E+08
 20 3.2141E-04 2.7163E+03 1.4834E+08
 21 3.7668E-04 2.7163E+03 1.4022E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2566E+08
 24 6.0121E-04 2.7163E+03 1.1911E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0712E+08
 27 9.4745E-04 2.7163E+03 1.0156E+08
 28 1.0994E-03 2.7163E+03 9.6247E+07
 29 1.2740E-03 2.7163E+03 9.1169E+07
 30 1.4742E-03 2.7163E+03 8.6333E+07
 31 1.7035E-03 2.7163E+03 8.1757E+07
 32 1.9657E-03 2.7163E+03 7.7464E+07
 33 2.2649E-03 2.7163E+03 7.3470E+07
 34 2.6061E-03 2.7163E+03 6.9780E+07
 35 2.9945E-03 2.7163E+03 6.6381E+07
 36 3.4358E-03 2.7163E+03 6.3239E+07
 37 3.9366E-03 2.7163E+03 6.0325E+07
 38 4.5041E-03 2.7163E+03 5.7603E+07
 39 5.1461E-03 2.7163E+03 5.5056E+07
 40 5.8713E-03 2.7163E+03 5.2687E+07
 41 6.6892E-03 2.7163E+03 5.0428E+07
 42 7.6103E-03 2.7163E+03 4.8276E+07
 43 8.6461E-03 2.7163E+03 4.6270E+07
 44 9.8089E-03 2.7163E+03 4.4354E+07
 45 1.1112E-02 2.7163E+03 4.2638E+07
 46 1.2571E-02 2.7163E+03 4.1065E+07
 47 1.4202E-02 2.7163E+03 3.9654E+07
 48 1.6021E-02 2.7163E+03 3.8370E+07
 49 1.8048E-02 2.7163E+03 3.7420E+07
 50 2.0303E-02 2.7163E+03 3.6773E+07
 51 2.2807E-02 2.7163E+03 3.6067E+07
 52 2.5583E-02 4.2709E+03 4.1030E+07
 53 2.8657E-02 7.4553E+03 4.8183E+07
 54 3.2055E-02 1.2091E+04 5.5032E+07
 55 3.5806E-02 1.7675E+04 6.0528E+07
 56 3.9939E-02 2.4030E+04 6.4806E+07
 57 4.4486E-02 3.0930E+04 6.7977E+07
 58 4.9481E-02 3.8071E+04 7.0119E+07
 59 5.4959E-02 4.5411E+04 7.1461E+07
 60 6.0957E-02 5.2982E+04 7.2197E+07
 61 6.7515E-02 6.0819E+04 7.2459E+07
 62 7.4672E-02 6.8872E+04 7.2314E+07
 63 8.2472E-02 7.6957E+04 7.1775E+07
 64 9.0957E-02 8.4677E+04 7.0803E+07
