  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 71 1.7354E-01 1.2336E+05 5.6793E+07
 72 1.8924E-01 1.2933E+05 5.4652E+07
 73 2.0608E-01 1.3595E+05 5.2557E+07
 74 2.2409E-01 1.4297E+05 5.0467E+07
 75 2.4334E-01 1.4998E+05 4.8333E+07
 76 2.6387E-01 1.5655E+05 4.6125E+07
 77 2.8572E-01 1.6223E+05 4.3819E+07
 78 3.0895E-01 1.6672E+05 4.1415E+07
 79 3.3359E-01 1.6986E+05 3.8935E+07
 80 3.5970E-01 1.7164E+05 3.6400E+07
 81 3.8729E-01 1.7220E+05 3.3845E+07
 82 4.1642E-01 1.7173E+05 3.1299E+07
 83 4.4710E-01 1.7043E+05 2.8787E+07
 84 4.7937E-01 1.6855E+05 2.6332E+07
 85 5.1324E-01 1.6625E+05 2.3950E+07
 86 5.4873E-01 1.6366E+05 2.1648E+07
 87 5.8584E-01 1.6090E+05 1.9435E+07
 88 6.2459E-01 1.5803E+05 1.7316E+07
 89 6.6495E-01 1.5509E+05 1.5292E+07
 90 7.0692E-01 1.5213E+05 1.3365E+07
 91 7.5048E-01 1.4917E+05 1.1539E+07
 92 7.9560E-01 1.4620E+05 9.8129E+06
 93 8.4225E-01 1.4327E+05 8.1899E+06
 94 8.9037E-01 1.4039E+05 6.6724E+06
 95 9.3991E-01 1.3755E+05 5.2626E+06
 96 9.9080E-01 1.3460E+05 5.1247E+06
 97 1.0430E+00 1.3147E+05 5.0235E+06
 98 1.0964E+00 1.2818E+05 4.9239E+06
 99 1.1508E+00 1.2509E+05 4.8303E+06
100 1.2063E+00 1.2229E+05 8.1561E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8035E+08
  2 1.4513E-05 2.7163E+03 4.6277E+08
  3 1.7446E-05 2.7163E+03 4.4212E+08
  4 2.0943E-05 2.7163E+03 4.1784E+08
  5 2.5106E-05 2.7163E+03 3.9131E+08
  6 3.0053E-05 2.7163E+03 3.6454E+08
  7 3.5924E-05 2.7163E+03 3.3897E+08
  8 4.2881E-05 2.7163E+03 3.1534E+08
  9 5.1114E-05 2.7163E+03 2.9383E+08
 10 6.0842E-05 2.7163E+03 2.7433E+08
 11 7.2318E-05 2.7163E+03 2.5661E+08
 12 8.5838E-05 2.7163E+03 2.4043E+08
 13 1.0174E-04 2.7163E+03 2.2558E+08
 14 1.2042E-04 2.7163E+03 2.1190E+08
 15 1.4233E-04 2.7163E+03 1.9926E+08
 16 1.6799E-04 2.7163E+03 1.8754E+08
 17 1.9799E-04 2.7163E+03 1.7667E+08
 18 2.3302E-04 2.7163E+03 1.6656E+08
 19 2.7386E-04 2.7163E+03 1.5715E+08
 20 3.2141E-04 2.7163E+03 1.4840E+08
 21 3.7668E-04 2.7163E+03 1.4027E+08
 22 4.4083E-04 2.7163E+03 1.3271E+08
 23 5.1517E-04 2.7163E+03 1.2569E+08
 24 6.0121E-04 2.7163E+03 1.1912E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6232E+07
 29 1.2740E-03 2.7163E+03 9.1152E+07
 30 1.4742E-03 2.7163E+03 8.6316E+07
 31 1.7035E-03 2.7163E+03 8.1741E+07
 32 1.9657E-03 2.7163E+03 7.7449E+07
 33 2.2649E-03 2.7163E+03 7.3457E+07
 34 2.6061E-03 2.7163E+03 6.9770E+07
 35 2.9945E-03 2.7163E+03 6.6370E+07
 36 3.4358E-03 2.7163E+03 6.3233E+07
 37 3.9366E-03 2.7163E+03 6.0320E+07
 38 4.5041E-03 2.7163E+03 5.7587E+07
 39 5.1461E-03 2.7163E+03 5.5038E+07
 40 5.8713E-03 2.7163E+03 5.2669E+07
 41 6.6892E-03 2.7163E+03 5.0432E+07
 42 7.6103E-03 2.7163E+03 4.8255E+07
 43 8.6461E-03 2.7163E+03 4.6251E+07
 44 9.8089E-03 2.7163E+03 4.4346E+07
 45 1.1112E-02 2.7163E+03 4.2624E+07
 46 1.2571E-02 2.7163E+03 4.1053E+07
 47 1.4202E-02 2.7163E+03 3.9641E+07
 48 1.6021E-02 2.7163E+03 3.8460E+07
 49 1.8048E-02 2.7163E+03 3.7587E+07
 50 2.0303E-02 2.7163E+03 3.6929E+07
 51 2.2807E-02 2.7163E+03 3.6212E+07
 52 2.5583E-02 3.3794E+03 3.8089E+07
 53 2.8657E-02 6.6283E+03 4.6481E+07
 54 3.2055E-02 1.1340E+04 5.4018E+07
 55 3.5806E-02 1.7000E+04 5.9889E+07
 56 3.9939E-02 2.3429E+04 6.4390E+07
 57 4.4486E-02 3.0397E+04 6.7700E+07
 58 4.9481E-02 3.7599E+04 6.9930E+07
 59 5.4959E-02 4.4992E+04 7.1331E+07
 60 6.0957E-02 5.2602E+04 7.2103E+07
 61 6.7515E-02 6.0479E+04 7.2393E+07
 62 7.4672E-02 6.8570E+04 7.2268E+07
 63 8.2472E-02 7.6689E+04 7.1743E+07
 64 9.0957E-02 8.4443E+04 7.0781E+07
 65 1.0017E-01 9.1606E+04 6.9417E+07
 66 1.1017E-01 9.8007E+04 6.7696E+07
 67 1.2099E-01 1.0348E+05 6.5659E+07
 68 1.3269E-01 1.0835E+05 6.3465E+07
 69 1.4531E-01 1.1307E+05 6.1223E+07
 70 1.5891E-01 1.1793E+05 5.8975E+07
 71 1.7354E-01 1.2330E+05 5.6780E+07
 72 1.8924E-01 1.2928E+05 5.4641E+07
 73 2.0608E-01 1.3591E+05 5.2549E+07
 74 2.2409E-01 1.4295E+05 5.0462E+07
 75 2.4334E-01 1.4996E+05 4.8330E+07
 76 2.6387E-01 1.5655E+05 4.6123E+07
 77 2.8572E-01 1.6224E+05 4.3819E+07
 78 3.0895E-01 1.6673E+05 4.1416E+07
 79 3.3359E-01 1.6988E+05 3.8936E+07
 80 3.5970E-01 1.7166E+05 3.6402E+07
 81 3.8729E-01 1.7222E+05 3.3846E+07
 82 4.1642E-01 1.7175E+05 3.1301E+07
 83 4.4710E-01 1.7046E+05 2.8789E+07
 84 4.7937E-01 1.6857E+05 2.6334E+07
 85 5.1324E-01 1.6627E+05 2.3951E+07
 86 5.4873E-01 1.6367E+05 2.1649E+07
 87 5.8584E-01 1.6091E+05 1.9436E+07
 88 6.2459E-01 1.5804E+05 1.7317E+07
 89 6.6495E-01 1.5510E+05 1.5292E+07
 90 7.0692E-01 1.5214E+05 1.3366E+07
 91 7.5048E-01 1.4918E+05 1.1539E+07
 92 7.9560E-01 1.4621E+05 9.8134E+06
 93 8.4225E-01 1.4328E+05 8.1905E+06
 94 8.9037E-01 1.4039E+05 6.6728E+06
 95 9.3991E-01 1.3755E+05 5.2630E+06
 96 9.9080E-01 1.3460E+05 5.1250E+06
