 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 53   1.767E-05   5.338E-06
 54   1.666E-05   4.554E-06
 55   1.571E-05   3.883E-06
 56   1.478E-05   3.280E-06
 57   1.387E-05   2.718E-06
 58   1.293E-05   2.204E-06
 59   1.195E-05   1.737E-06
 60   1.097E-05   1.305E-06
 61   9.984E-06   8.934E-07
 62   8.979E-06   4.142E-07
 63   8.005E-06   5.115E-08
 64   7.129E-06   4.770E-07
 65   6.253E-06   4.043E-07
 66   5.384E-06   3.082E-07
 67   4.720E-06   3.195E-07
 68   4.141E-06   4.775E-07
 69   3.529E-06   1.569E-07
 70   2.948E-06   4.302E-07
 71   2.670E-06   5.756E-07
 72   2.410E-06   1.040E-06
 73   2.146E-06   1.578E-06
 74   1.958E-06   2.311E-06
 75   1.965E-06   3.192E-06
 76   1.980E-06   4.056E-06
 77   1.997E-06   4.821E-06
 78   2.141E-06   6.290E-06
 79   2.507E-06   8.605E-06
 80   2.810E-06   1.084E-05
 81   3.052E-06   1.373E-05
 82   3.507E-06   1.728E-05
 83   4.336E-06   2.181E-05
 84   4.874E-06   2.324E-05
 85   5.225E-06   2.332E-05
 86   5.642E-06   2.359E-05
 87   6.352E-06   2.463E-05
 88   6.661E-06   2.414E-05
 89   6.703E-06   2.314E-05
 90   6.679E-06   2.209E-05
 91   6.856E-06   2.154E-05
 92   6.895E-06   2.047E-05
 93   6.814E-06   1.948E-05
 94   6.851E-06   1.956E-05
 95   8.710E-06   2.435E-05
 96   1.026E-05   2.609E-05
 97   1.069E-05   2.429E-05
 98   1.051E-05   2.280E-05
 99   1.000E-05   2.253E-05
100   8.552E-06   2.045E-05
101   7.462E-08   1.895E-07
 NST=     8

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.728E-04   5.426E-04
  3   2.141E-04   4.361E-04
  4   7.607E-05   3.403E-04
  5   4.511E-05   2.575E-04
  6   3.982E-05   1.867E-04
  7   3.941E-05   1.309E-04
  8   3.984E-05   9.075E-05
  9   4.026E-05   6.438E-05
 10   4.073E-05   4.779E-05
 11   4.103E-05   3.853E-05
 12   4.136E-05   3.372E-05
 13   4.172E-05   3.167E-05
 14   4.223E-05   3.125E-05
 15   4.308E-05   3.165E-05
 16   4.432E-05   3.276E-05
 17   4.601E-05   3.426E-05
 18   4.810E-05   3.616E-05
 19   5.065E-05   3.827E-05
 20   5.363E-05   4.066E-05
 21   5.710E-05   4.313E-05
 22   6.099E-05   4.575E-05
 23   6.532E-05   4.837E-05
 24   7.001E-05   5.098E-05
 25   7.508E-05   5.342E-05
 26   8.040E-05   5.568E-05
 27   8.598E-05   5.765E-05
 28   9.154E-05   5.939E-05
 29   9.702E-05   6.097E-05
 30   1.021E-04   6.312E-05
 31   1.064E-04   6.628E-05
 32   1.091E-04   6.994E-05
 33   1.096E-04   7.220E-05
 34   1.068E-04   7.181E-05
 35   1.014E-04   6.899E-05
 36   9.372E-05   6.440E-05
 37   8.525E-05   5.881E-05
 38   7.740E-05   5.298E-05
 39   6.974E-05   4.732E-05
 40   6.344E-05   4.228E-05
 41   5.716E-05   3.773E-05
 42   5.179E-05   3.365E-05
 43   4.649E-05   2.979E-05
 44   4.170E-05   2.612E-05
 45   3.735E-05   2.263E-05
 46   3.334E-05   1.937E-05
 47   2.984E-05   1.640E-05
 48   2.682E-05   1.356E-05
 49   2.425E-05   1.112E-05
 50   2.208E-05   9.122E-06
 51   2.036E-05   7.528E-06
 52   1.892E-05   6.297E-06
 53   1.767E-05   5.343E-06
 54   1.666E-05   4.559E-06
 55   1.571E-05   3.887E-06
 56   1.478E-05   3.285E-06
 57   1.387E-05   2.724E-06
 58   1.293E-05   2.210E-06
 59   1.195E-05   1.745E-06
 60   1.097E-05   1.324E-06
 61   9.984E-06   8.814E-07
 62   8.979E-06   4.296E-07
 63   8.005E-06   3.192E-08
 64   7.129E-06   4.985E-07
 65   6.253E-06   3.963E-07
 66   5.384E-06   3.045E-07
 67   4.720E-06   3.163E-07
 68   4.141E-06   4.748E-07
 69   3.529E-06   1.559E-07
 70   2.948E-06   4.301E-07
 71   2.670E-06   5.752E-07
 72   2.410E-06   1.039E-06
 73   2.146E-06   1.575E-06
 74   1.958E-06   2.307E-06
 75   1.965E-06   3.185E-06
 76   1.980E-06   4.046E-06
 77   1.997E-06   4.805E-06
 78   2.141E-06   6.250E-06
 79   2.507E-06   8.603E-06
 80   2.810E-06   1.089E-05
 81   3.052E-06   1.377E-05
 82   3.507E-06   1.732E-05
 83   4.336E-06   2.185E-05
 84   4.874E-06   2.328E-05
 85   5.225E-06   2.334E-05
 86   5.642E-06   2.361E-05
 87   6.352E-06   2.465E-05
 88   6.661E-06   2.416E-05
 89   6.703E-06   2.315E-05
 90   6.679E-06   2.209E-05
 91   6.856E-06   2.154E-05
 92   6.895E-06   2.046E-05
 93   6.814E-06   1.947E-05
 94   6.851E-06   1.955E-05
