 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 95   8.710E-06   2.434E-05
 96   1.026E-05   2.608E-05
 97   1.069E-05   2.428E-05
 98   1.051E-05   2.278E-05
 99   1.000E-05   2.252E-05
100   8.552E-06   2.044E-05
101   7.461E-08   1.894E-07
 NST=     9

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.732E-04   5.587E-04
  3   2.139E-04   4.521E-04
  4   7.599E-05   3.516E-04
  5   4.510E-05   2.626E-04
  6   3.983E-05   1.902E-04
  7   3.944E-05   1.325E-04
  8   3.986E-05   9.155E-05
  9   4.028E-05   6.447E-05
 10   4.075E-05   4.797E-05
 11   4.105E-05   3.866E-05
 12   4.138E-05   3.389E-05
 13   4.173E-05   3.185E-05
 14   4.225E-05   3.142E-05
 15   4.309E-05   3.185E-05
 16   4.433E-05   3.296E-05
 17   4.602E-05   3.445E-05
 18   4.811E-05   3.634E-05
 19   5.065E-05   3.844E-05
 20   5.364E-05   4.081E-05
 21   5.710E-05   4.326E-05
 22   6.099E-05   4.586E-05
 23   6.532E-05   4.846E-05
 24   7.001E-05   5.104E-05
 25   7.508E-05   5.347E-05
 26   8.040E-05   5.571E-05
 27   8.598E-05   5.767E-05
 28   9.154E-05   5.939E-05
 29   9.702E-05   6.096E-05
 30   1.021E-04   6.311E-05
 31   1.064E-04   6.625E-05
 32   1.091E-04   6.988E-05
 33   1.096E-04   7.216E-05
 34   1.068E-04   7.185E-05
 35   1.014E-04   6.909E-05
 36   9.373E-05   6.452E-05
 37   8.525E-05   5.892E-05
 38   7.740E-05   5.308E-05
 39   6.974E-05   4.739E-05
 40   6.344E-05   4.234E-05
 41   5.716E-05   3.776E-05
 42   5.179E-05   3.367E-05
 43   4.649E-05   2.981E-05
 44   4.170E-05   2.614E-05
 45   3.735E-05   2.265E-05
 46   3.334E-05   1.939E-05
 47   2.984E-05   1.641E-05
 48   2.682E-05   1.357E-05
 49   2.425E-05   1.114E-05
 50   2.208E-05   9.133E-06
 51   2.036E-05   7.537E-06
 52   1.892E-05   6.305E-06
 53   1.767E-05   5.350E-06
 54   1.666E-05   4.566E-06
 55   1.571E-05   3.893E-06
 56   1.478E-05   3.291E-06
 57   1.387E-05   2.731E-06
 58   1.293E-05   2.217E-06
 59   1.195E-05   1.761E-06
 60   1.097E-05   1.328E-06
 61   9.984E-06   8.833E-07
 62   8.979E-06   4.524E-07
 63   8.005E-06   3.399E-08
 64   7.129E-06   5.072E-07
 65   6.253E-06   3.896E-07
 66   5.384E-06   3.014E-07
 67   4.720E-06   3.132E-07
 68   4.141E-06   4.718E-07
 69   3.529E-06   1.549E-07
 70   2.948E-06   4.302E-07
 71   2.670E-06   5.755E-07
 72   2.410E-06   1.038E-06
 73   2.146E-06   1.573E-06
 74   1.958E-06   2.304E-06
 75   1.965E-06   3.181E-06
 76   1.980E-06   4.040E-06
 77   1.997E-06   4.795E-06
 78   2.141E-06   6.223E-06
 79   2.507E-06   8.599E-06
 80   2.810E-06   1.093E-05
 81   3.052E-06   1.379E-05
 82   3.507E-06   1.734E-05
 83   4.336E-06   2.187E-05
 84   4.874E-06   2.330E-05
 85   5.225E-06   2.336E-05
 86   5.642E-06   2.362E-05
 87   6.352E-06   2.466E-05
 88   6.661E-06   2.416E-05
 89   6.703E-06   2.315E-05
 90   6.679E-06   2.209E-05
 91   6.856E-06   2.154E-05
 92   6.895E-06   2.046E-05
 93   6.814E-06   1.946E-05
 94   6.851E-06   1.955E-05
 95   8.710E-06   2.433E-05
 96   1.026E-05   2.607E-05
 97   1.069E-05   2.427E-05
 98   1.051E-05   2.278E-05
 99   1.000E-05   2.252E-05
100   8.552E-06   2.044E-05
101   7.461E-08   1.893E-07
 NST=    10

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.738E-04   5.807E-04
  3   2.137E-04   4.575E-04
  4   7.589E-05   3.554E-04
  5   4.509E-05   2.641E-04
  6   3.985E-05   1.916E-04
  7   3.945E-05   1.333E-04
  8   3.988E-05   9.204E-05
  9   4.030E-05   6.484E-05
 10   4.076E-05   4.821E-05
 11   4.106E-05   3.882E-05
 12   4.139E-05   3.406E-05
 13   4.175E-05   3.202E-05
 14   4.226E-05   3.162E-05
 15   4.310E-05   3.202E-05
 16   4.435E-05   3.313E-05
 17   4.603E-05   3.462E-05
 18   4.811E-05   3.650E-05
 19   5.066E-05   3.860E-05
 20   5.364E-05   4.096E-05
 21   5.711E-05   4.340E-05
 22   6.100E-05   4.599E-05
 23   6.532E-05   4.858E-05
 24   7.002E-05   5.115E-05
 25   7.508E-05   5.357E-05
 26   8.040E-05   5.580E-05
 27   8.598E-05   5.775E-05
 28   9.154E-05   5.947E-05
 29   9.701E-05   6.103E-05
 30   1.021E-04   6.319E-05
 31   1.064E-04   6.631E-05
 32   1.091E-04   6.991E-05
 33   1.096E-04   7.220E-05
 34   1.068E-04   7.194E-05
 35   1.014E-04   6.924E-05
 36   9.373E-05   6.469E-05
 37   8.525E-05   5.907E-05
 38   7.740E-05   5.320E-05
 39   6.974E-05   4.749E-05
 40   6.344E-05   4.241E-05
 41   5.716E-05   3.782E-05
 42   5.179E-05   3.371E-05
 43   4.649E-05   2.984E-05
 44   4.170E-05   2.616E-05
 45   3.735E-05   2.267E-05
 46   3.334E-05   1.941E-05
 47   2.984E-05   1.643E-05
 48   2.682E-05   1.359E-05
 49   2.425E-05   1.115E-05
 50   2.208E-05   9.147E-06
 51   2.036E-05   7.550E-06
 52   1.892E-05   6.316E-06
 53   1.767E-05   5.361E-06
 54   1.666E-05   4.576E-06
 55   1.571E-05   3.903E-06
 56   1.478E-05   3.301E-06
 57   1.387E-05   2.739E-06
 58   1.293E-05   2.230E-06
 59   1.195E-05   1.774E-06
 60   1.097E-05   1.332E-06
 61   9.983E-06   8.963E-07
 62   8.978E-06   4.687E-07
 63   8.005E-06   3.690E-08
 64   7.129E-06   5.113E-07
 65   6.253E-06   3.830E-07
 66   5.384E-06   2.983E-07
 67   4.720E-06   3.098E-07
 68   4.141E-06   4.681E-07
 69   3.529E-06   1.536E-07
 70   2.948E-06   4.306E-07
 71   2.670E-06   5.765E-07
 72   2.410E-06   1.039E-06
 73   2.146E-06   1.573E-06
 74   1.958E-06   2.302E-06
 75   1.965E-06   3.178E-06
 76   1.980E-06   4.036E-06
 77   1.997E-06   4.789E-06
 78   2.141E-06   6.205E-06
 79   2.507E-06   8.590E-06
 80   2.810E-06   1.094E-05
 81   3.052E-06   1.379E-05
 82   3.507E-06   1.735E-05
 83   4.336E-06   2.187E-05
 84   4.874E-06   2.330E-05
 85   5.225E-06   2.336E-05
 86   5.642E-06   2.362E-05
 87   6.352E-06   2.465E-05
 88   6.661E-06   2.416E-05
 89   6.703E-06   2.314E-05
 90   6.679E-06   2.209E-05
 91   6.856E-06   2.153E-05
 92   6.895E-06   2.045E-05
 93   6.814E-06   1.946E-05
 94   6.851E-06   1.954E-05
 95   8.710E-06   2.433E-05
 96   1.026E-05   2.607E-05
 97   1.069E-05   2.427E-05
 98   1.051E-05   2.278E-05
 99   1.000E-05   2.252E-05
100   8.552E-06   2.044E-05
101   7.461E-08   1.894E-07
 NST=    11

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.745E-04   6.073E-04
  3   2.133E-04   4.632E-04
  4   7.577E-05   3.537E-04
  5   4.507E-05   2.628E-04
  6   3.985E-05   1.899E-04
  7   3.946E-05   1.331E-04
  8   3.989E-05   9.231E-05
  9   4.031E-05   6.495E-05
 10   4.078E-05   4.837E-05
 11   4.107E-05   3.895E-05
 12   4.140E-05   3.417E-05
 13   4.176E-05   3.219E-05
 14   4.227E-05   3.177E-05
 15   4.311E-05   3.218E-05
 16   4.436E-05   3.330E-05
 17   4.604E-05   3.479E-05
 18   4.813E-05   3.667E-05
 19   5.067E-05   3.877E-05
 20   5.365E-05   4.113E-05
 21   5.711E-05   4.357E-05
 22   6.100E-05   4.617E-05
 23   6.533E-05   4.875E-05
 24   7.002E-05   5.133E-05
 25   7.509E-05   5.374E-05
 26   8.040E-05   5.597E-05
 27   8.598E-05   5.792E-05
 28   9.154E-05   5.963E-05
 29   9.701E-05   6.120E-05
 30   1.021E-04   6.335E-05
 31   1.064E-04   6.647E-05
 32   1.091E-04   7.007E-05
 33   1.096E-04   7.237E-05
 34   1.068E-04   7.215E-05
 35   1.014E-04   6.946E-05
 36   9.373E-05   6.491E-05
 37   8.525E-05   5.926E-05
 38   7.740E-05   5.336E-05
 39   6.974E-05   4.761E-05
 40   6.344E-05   4.251E-05
 41   5.716E-05   3.789E-05
 42   5.179E-05   3.377E-05
 43   4.649E-05   2.989E-05
 44   4.170E-05   2.620E-05
 45   3.735E-05   2.271E-05
 46   3.334E-05   1.944E-05
 47   2.984E-05   1.646E-05
 48   2.682E-05   1.362E-05
 49   2.425E-05   1.118E-05
 50   2.208E-05   9.167E-06
 51   2.036E-05   7.568E-06
 52   1.892E-05   6.333E-06
 53   1.767E-05   5.376E-06
 54   1.666E-05   4.590E-06
 55   1.571E-05   3.917E-06
 56   1.478E-05   3.314E-06
 57   1.387E-05   2.754E-06
 58   1.293E-05   2.248E-06
 59   1.195E-05   1.786E-06
 60   1.097E-05   1.343E-06
 61   9.983E-06   9.137E-07
 62   8.978E-06   4.833E-07
 63   8.005E-06   3.744E-08
 64   7.128E-06   5.117E-07
 65   6.252E-06   3.758E-07
 66   5.384E-06   2.950E-07
 67   4.720E-06   3.056E-07
 68   4.141E-06   4.631E-07
 69   3.529E-06   1.521E-07
 70   2.948E-06   4.314E-07
 71   2.670E-06   5.785E-07
 72   2.410E-06   1.040E-06
 73   2.145E-06   1.573E-06
 74   1.958E-06   2.302E-06
 75   1.965E-06   3.177E-06
 76   1.980E-06   4.035E-06
 77   1.997E-06   4.787E-06
 78   2.141E-06   6.195E-06
 79   2.506E-06   8.575E-06
 80   2.810E-06   1.093E-05
 81   3.052E-06   1.378E-05
 82   3.507E-06   1.733E-05
 83   4.336E-06   2.186E-05
 84   4.874E-06   2.328E-05
 85   5.225E-06   2.334E-05
 86   5.642E-06   2.361E-05
 87   6.352E-06   2.464E-05
 88   6.660E-06   2.414E-05
 89   6.703E-06   2.313E-05
 90   6.679E-06   2.208E-05
 91   6.856E-06   2.152E-05
 92   6.895E-06   2.045E-05
 93   6.814E-06   1.946E-05
 94   6.851E-06   1.954E-05
 95   8.710E-06   2.433E-05
 96   1.026E-05   2.607E-05
 97   1.069E-05   2.427E-05
 98   1.051E-05   2.278E-05
 99   1.000E-05   2.252E-05
100   8.552E-06   2.045E-05
101   7.462E-08   1.895E-07
 NST=    12

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.754E-04   6.441E-04
  3   2.127E-04   4.638E-04
  4   7.563E-05   3.493E-04
  5   4.504E-05   2.589E-04
  6   3.985E-05   1.883E-04
  7   3.947E-05   1.321E-04
  8   3.989E-05   9.198E-05
  9   4.031E-05   6.503E-05
 10   4.078E-05   4.849E-05
 11   4.108E-05   3.908E-05
 12   4.141E-05   3.438E-05
 13   4.177E-05   3.234E-05
 14   4.228E-05   3.192E-05
 15   4.312E-05   3.235E-05
 16   4.437E-05   3.347E-05
 17   4.606E-05   3.496E-05
 18   4.814E-05   3.686E-05
 19   5.069E-05   3.897E-05
 20   5.367E-05   4.134E-05
 21   5.713E-05   4.380E-05
 22   6.102E-05   4.641E-05
 23   6.534E-05   4.901E-05
 24   7.003E-05   5.159E-05
 25   7.509E-05   5.401E-05
 26   8.041E-05   5.625E-05
 27   8.599E-05   5.820E-05
 28   9.154E-05   5.992E-05
 29   9.702E-05   6.148E-05
 30   1.021E-04   6.363E-05
 31   1.064E-04   6.677E-05
 32   1.091E-04   7.039E-05
 33   1.096E-04   7.272E-05
 34   1.068E-04   7.250E-05
 35   1.014E-04   6.981E-05
 36   9.373E-05   6.522E-05
 37   8.526E-05   5.953E-05
 38   7.740E-05   5.358E-05
 39   6.974E-05   4.779E-05
 40   6.344E-05   4.265E-05
 41   5.716E-05   3.800E-05
 42   5.180E-05   3.386E-05
 43   4.649E-05   2.996E-05
 44   4.170E-05   2.626E-05
 45   3.735E-05   2.275E-05
 46   3.334E-05   1.949E-05
 47   2.984E-05   1.650E-05
 48   2.682E-05   1.365E-05
 49   2.425E-05   1.121E-05
 50   2.208E-05   9.196E-06
 51   2.036E-05   7.594E-06
 52   1.892E-05   6.357E-06
 53   1.767E-05   5.399E-06
 54   1.666E-05   4.613E-06
 55   1.571E-05   3.938E-06
 56   1.478E-05   3.334E-06
 57   1.387E-05   2.776E-06
 58   1.293E-05   2.269E-06
 59   1.195E-05   1.804E-06
 60   1.097E-05   1.363E-06
 61   9.983E-06   9.396E-07
 62   8.978E-06   4.632E-07
 63   8.004E-06   6.883E-09
 64   7.128E-06   4.743E-07
 65   6.252E-06   4.038E-07
 66   5.384E-06   2.866E-07
 67   4.720E-06   2.995E-07
 68   4.141E-06   4.559E-07
 69   3.529E-06   1.498E-07
 70   2.948E-06   4.326E-07
 71   2.670E-06   5.818E-07
 72   2.410E-06   1.043E-06
 73   2.145E-06   1.575E-06
 74   1.958E-06   2.302E-06
 75   1.965E-06   3.177E-06
 76   1.980E-06   4.036E-06
 77   1.996E-06   4.789E-06
 78   2.141E-06   6.191E-06
 79   2.506E-06   8.556E-06
 80   2.810E-06   1.090E-05
 81   3.052E-06   1.375E-05
 82   3.507E-06   1.730E-05
 83   4.336E-06   2.182E-05
 84   4.874E-06   2.324E-05
 85   5.225E-06   2.331E-05
 86   5.641E-06   2.358E-05
 87   6.352E-06   2.461E-05
 88   6.660E-06   2.412E-05
 89   6.703E-06   2.311E-05
 90   6.679E-06   2.206E-05
 91   6.856E-06   2.151E-05
 92   6.895E-06   2.044E-05
 93   6.814E-06   1.945E-05
 94   6.851E-06   1.954E-05
 95   8.710E-06   2.434E-05
 96   1.026E-05   2.607E-05
 97   1.069E-05   2.428E-05
 98   1.051E-05   2.279E-05
 99   1.000E-05   2.253E-05
100   8.552E-06   2.046E-05
101   7.462E-08   1.897E-07
 NST=    13

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.766E-04   6.879E-04
  3   2.121E-04   4.665E-04
  4   7.545E-05   3.407E-04
  5   4.501E-05   2.533E-04
  6   3.984E-05   1.850E-04
  7   3.946E-05   1.306E-04
  8   3.989E-05   9.121E-05
  9   4.031E-05   6.482E-05
 10   4.079E-05   4.855E-05
 11   4.109E-05   3.931E-05
 12   4.142E-05   3.461E-05
 13   4.178E-05   3.253E-05
 14   4.229E-05   3.211E-05
 15   4.314E-05   3.252E-05
 16   4.439E-05   3.365E-05
 17   4.608E-05   3.517E-05
 18   4.816E-05   3.709E-05
 19   5.070E-05   3.922E-05
 20   5.368E-05   4.162E-05
 21   5.714E-05   4.411E-05
 22   6.103E-05   4.674E-05
 23   6.536E-05   4.937E-05
 24   7.004E-05   5.198E-05
 25   7.510E-05   5.442E-05
 26   8.041E-05   5.667E-05
 27   8.599E-05   5.864E-05
 28   9.155E-05   6.036E-05
 29   9.702E-05   6.193E-05
 30   1.021E-04   6.407E-05
 31   1.064E-04   6.724E-05
 32   1.091E-04   7.095E-05
 33   1.096E-04   7.333E-05
 34   1.068E-04   7.310E-05
 35   1.014E-04   7.034E-05
 36   9.373E-05   6.567E-05
 37   8.526E-05   5.991E-05
 38   7.740E-05   5.389E-05
 39   6.975E-05   4.805E-05
 40   6.344E-05   4.286E-05
 41   5.716E-05   3.817E-05
 42   5.180E-05   3.399E-05
 43   4.649E-05   3.006E-05
 44   4.170E-05   2.635E-05
 45   3.735E-05   2.283E-05
 46   3.334E-05   1.955E-05
 47   2.984E-05   1.656E-05
 48   2.682E-05   1.370E-05
 49   2.425E-05   1.125E-05
 50   2.208E-05   9.238E-06
 51   2.036E-05   7.634E-06
 52   1.892E-05   6.394E-06
 53   1.767E-05   5.435E-06
 54   1.666E-05   4.647E-06
 55   1.571E-05   3.971E-06
 56   1.478E-05   3.366E-06
 57   1.387E-05   2.808E-06
 58   1.293E-05   2.298E-06
 59   1.195E-05   1.830E-06
 60   1.097E-05   1.397E-06
 61   9.982E-06   9.465E-07
 62   8.977E-06   4.915E-07
 63   8.004E-06   2.250E-08
 64   7.128E-06   4.818E-07
 65   6.252E-06   3.906E-07
 66   5.384E-06   2.816E-07
 67   4.720E-06   2.918E-07
 68   4.141E-06   4.460E-07
 69   3.529E-06   1.469E-07
 70   2.948E-06   4.344E-07
 71   2.670E-06   5.867E-07
 72   2.410E-06   1.047E-06
 73   2.145E-06   1.578E-06
 74   1.957E-06   2.304E-06
 75   1.965E-06   3.178E-06
 76   1.980E-06   4.039E-06
 77   1.996E-06   4.794E-06
 78   2.141E-06   6.188E-06
 79   2.506E-06   8.538E-06
 80   2.809E-06   1.085E-05
 81   3.052E-06   1.368E-05
 82   3.507E-06   1.724E-05
 83   4.335E-06   2.175E-05
 84   4.873E-06   2.317E-05
 85   5.224E-06   2.324E-05
 86   5.641E-06   2.353E-05
 87   6.351E-06   2.456E-05
 88   6.660E-06   2.408E-05
 89   6.703E-06   2.308E-05
 90   6.679E-06   2.204E-05
 91   6.856E-06   2.149E-05
 92   6.895E-06   2.043E-05
 93   6.814E-06   1.945E-05
 94   6.851E-06   1.954E-05
 95   8.711E-06   2.435E-05
 96   1.026E-05   2.609E-05
 97   1.069E-05   2.429E-05
 98   1.051E-05   2.280E-05
 99   1.000E-05   2.255E-05
100   8.553E-06   2.048E-05
101   7.462E-08   1.900E-07
 NST=    14

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.775E-04   7.394E-04
  3   2.116E-04   4.643E-04
  4   7.531E-05   3.275E-04
  5   4.497E-05   2.446E-04
  6   3.982E-05   1.801E-04
  7   3.945E-05   1.284E-04
  8   3.989E-05   8.999E-05
  9   4.031E-05   6.455E-05
 10   4.079E-05   4.849E-05
 11   4.109E-05   3.945E-05
 12   4.143E-05   3.483E-05
 13   4.179E-05   3.280E-05
 14   4.231E-05   3.233E-05
 15   4.316E-05   3.274E-05
 16   4.441E-05   3.388E-05
 17   4.610E-05   3.542E-05
 18   4.818E-05   3.738E-05
 19   5.073E-05   3.956E-05
 20   5.371E-05   4.201E-05
 21   5.717E-05   4.454E-05
 22   6.106E-05   4.722E-05
 23   6.538E-05   4.990E-05
 24   7.006E-05   5.255E-05
 25   7.512E-05   5.503E-05
 26   8.043E-05   5.731E-05
 27   8.600E-05   5.929E-05
 28   9.156E-05   6.103E-05
 29   9.702E-05   6.260E-05
 30   1.021E-04   6.474E-05
 31   1.064E-04   6.796E-05
 32   1.091E-04   7.184E-05
 33   1.096E-04   7.432E-05
 34   1.068E-04   7.404E-05
 35   1.014E-04   7.116E-05
 36   9.374E-05   6.634E-05
 37   8.526E-05   6.046E-05
 38   7.741E-05   5.434E-05
 39   6.975E-05   4.842E-05
 40   6.344E-05   4.317E-05
 41   5.716E-05   3.843E-05
 42   5.180E-05   3.420E-05
 43   4.649E-05   3.023E-05
 44   4.170E-05   2.648E-05
 45   3.735E-05   2.293E-05
 46   3.334E-05   1.963E-05
 47   2.984E-05   1.663E-05
 48   2.682E-05   1.377E-05
 49   2.425E-05   1.132E-05
 50   2.208E-05   9.301E-06
 51   2.036E-05   7.693E-06
 52   1.892E-05   6.449E-06
 53   1.767E-05   5.489E-06
 54   1.666E-05   4.699E-06
 55   1.572E-05   4.021E-06
 56   1.478E-05   3.415E-06
 57   1.387E-05   2.856E-06
 58   1.293E-05   2.340E-06
 59   1.195E-05   1.876E-06
 60   1.097E-05   1.429E-06
 61   9.980E-06   9.741E-07
 62   8.976E-06   5.341E-07
 63   8.003E-06   4.270E-08
 64   7.127E-06   4.709E-07
 65   6.252E-06   3.744E-07
 66   5.384E-06   2.746E-07
 67   4.720E-06   2.810E-07
 68   4.141E-06   4.315E-07
 69   3.529E-06   1.426E-07
 70   2.948E-06   4.368E-07
 71   2.670E-06   5.941E-07
 72   2.410E-06   1.054E-06
 73   2.145E-06   1.582E-06
 74   1.957E-06   2.306E-06
 75   1.965E-06   3.180E-06
 76   1.980E-06   4.044E-06
 77   1.996E-06   4.801E-06
 78   2.140E-06   6.184E-06
 79   2.506E-06   8.516E-06
 80   2.809E-06   1.079E-05
 81   3.051E-06   1.358E-05
 82   3.506E-06   1.712E-05
 83   4.335E-06   2.163E-05
 84   4.873E-06   2.306E-05
 85   5.224E-06   2.315E-05
 86   5.641E-06   2.345E-05
 87   6.351E-06   2.449E-05
 88   6.660E-06   2.401E-05
 89   6.702E-06   2.302E-05
 90   6.679E-06   2.200E-05
 91   6.856E-06   2.147E-05
 92   6.895E-06   2.041E-05
 93   6.814E-06   1.944E-05
 94   6.851E-06   1.955E-05
 95   8.711E-06   2.436E-05
 96   1.027E-05   2.611E-05
 97   1.069E-05   2.431E-05
 98   1.051E-05   2.283E-05
 99   1.000E-05   2.258E-05
100   8.553E-06   2.051E-05
101   7.462E-08   1.905E-07
 NST=    15

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.781E-04   7.925E-04
  3   2.113E-04   4.600E-04
  4   7.521E-05   3.098E-04
  5   4.495E-05   2.317E-04
  6   3.981E-05   1.732E-04
  7   3.944E-05   1.246E-04
  8   3.987E-05   8.871E-05
  9   4.030E-05   6.401E-05
 10   4.079E-05   4.853E-05
 11   4.110E-05   3.971E-05
 12   4.144E-05   3.510E-05
 13   4.180E-05   3.309E-05
 14   4.233E-05   3.261E-05
 15   4.318E-05   3.301E-05
 16   4.444E-05   3.418E-05
 17   4.613E-05   3.576E-05
 18   4.822E-05   3.778E-05
 19   5.077E-05   4.002E-05
 20   5.375E-05   4.255E-05
 21   5.721E-05   4.516E-05
 22   6.110E-05   4.792E-05
 23   6.541E-05   5.066E-05
 24   7.009E-05   5.338E-05
 25   7.515E-05   5.592E-05
 26   8.045E-05   5.825E-05
 27   8.602E-05   6.027E-05
 28   9.157E-05   6.203E-05
 29   9.703E-05   6.362E-05
 30   1.021E-04   6.574E-05
 31   1.065E-04   6.904E-05
 32   1.091E-04   7.321E-05
 33   1.096E-04   7.584E-05
 34   1.068E-04   7.547E-05
 35   1.014E-04   7.237E-05
 36   9.375E-05   6.733E-05
 37   8.527E-05   6.125E-05
 38   7.741E-05   5.499E-05
 39   6.975E-05   4.896E-05
 40   6.345E-05   4.362E-05
 41   5.717E-05   3.880E-05
 42   5.180E-05   3.450E-05
 43   4.649E-05   3.047E-05
 44   4.170E-05   2.667E-05
 45   3.735E-05   2.309E-05
 46   3.333E-05   1.976E-05
 47   2.984E-05   1.675E-05
 48   2.682E-05   1.388E-05
 49   2.425E-05   1.142E-05
 50   2.208E-05   9.395E-06
 51   2.037E-05   7.782E-06
 52   1.892E-05   6.534E-06
 53   1.767E-05   5.571E-06
 54   1.666E-05   4.778E-06
 55   1.572E-05   4.097E-06
 56   1.478E-05   3.490E-06
 57   1.387E-05   2.924E-06
 58   1.293E-05   2.407E-06
 59   1.195E-05   1.936E-06
 60   1.097E-05   1.477E-06
 61   9.979E-06   1.028E-06
 62   8.974E-06   5.582E-07
 63   8.001E-06   9.355E-08
 64   7.126E-06   4.217E-07
 65   6.251E-06   3.775E-07
 66   5.383E-06   2.617E-07
 67   4.720E-06   2.652E-07
 68   4.141E-06   4.099E-07
 69   3.529E-06   1.363E-07
 70   2.948E-06   4.404E-07
 71   2.670E-06   6.050E-07
 72   2.410E-06   1.063E-06
 73   2.145E-06   1.589E-06
 74   1.957E-06   2.311E-06
 75   1.965E-06   3.183E-06
 76   1.980E-06   4.053E-06
 77   1.996E-06   4.813E-06
 78   2.140E-06   6.181E-06
 79   2.506E-06   8.484E-06
 80   2.809E-06   1.071E-05
 81   3.051E-06   1.343E-05
 82   3.505E-06   1.694E-05
 83   4.334E-06   2.145E-05
 84   4.872E-06   2.289E-05
 85   5.223E-06   2.299E-05
 86   5.640E-06   2.331E-05
 87   6.351E-06   2.438E-05
 88   6.659E-06   2.391E-05
 89   6.702E-06   2.294E-05
 90   6.679E-06   2.194E-05
 91   6.856E-06   2.143E-05
 92   6.895E-06   2.038E-05
 93   6.814E-06   1.943E-05
 94   6.852E-06   1.955E-05
 95   8.712E-06   2.439E-05
 96   1.027E-05   2.614E-05
 97   1.069E-05   2.435E-05
 98   1.051E-05   2.287E-05
 99   1.000E-05   2.262E-05
100   8.554E-06   2.056E-05
101   7.463E-08   1.913E-07
 NST=    16

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.785E-04   8.260E-04
  3   2.110E-04   4.400E-04
  4   7.515E-05   2.886E-04
  5   4.493E-05   2.155E-04
  6   3.979E-05   1.644E-04
  7   3.941E-05   1.205E-04
  8   3.985E-05   8.679E-05
  9   4.029E-05   6.333E-05
 10   4.078E-05   4.881E-05
 11   4.110E-05   4.013E-05
 12   4.145E-05   3.554E-05
 13   4.183E-05   3.347E-05
 14   4.236E-05   3.295E-05
 15   4.322E-05   3.336E-05
 16   4.448E-05   3.456E-05
 17   4.618E-05   3.621E-05
 18   4.827E-05   3.832E-05
 19   5.083E-05   4.067E-05
 20   5.381E-05   4.331E-05
 21   5.727E-05   4.604E-05
 22   6.115E-05   4.891E-05
 23   6.546E-05   5.177E-05
 24   7.014E-05   5.460E-05
 25   7.519E-05   5.723E-05
 26   8.048E-05   5.963E-05
 27   8.604E-05   6.172E-05
 28   9.158E-05   6.353E-05
 29   9.704E-05   6.515E-05
 30   1.021E-04   6.729E-05
 31   1.065E-04   7.071E-05
 32   1.091E-04   7.517E-05
 33   1.096E-04   7.804E-05
 34   1.068E-04   7.758E-05
 35   1.014E-04   7.417E-05
 36   9.376E-05   6.877E-05
 37   8.528E-05   6.240E-05
 38   7.742E-05   5.593E-05
 39   6.976E-05   4.976E-05
 40   6.345E-05   4.430E-05
 41   5.717E-05   3.936E-05
 42   5.180E-05   3.496E-05
 43   4.649E-05   3.084E-05
 44   4.170E-05   2.697E-05
 45   3.735E-05   2.332E-05
 46   3.333E-05   1.995E-05
 47   2.983E-05   1.692E-05
 48   2.682E-05   1.404E-05
 49   2.425E-05   1.157E-05
 50   2.208E-05   9.537E-06
 51   2.037E-05   7.917E-06
 52   1.892E-05   6.662E-06
 53   1.767E-05   5.695E-06
 54   1.667E-05   4.898E-06
 55   1.572E-05   4.213E-06
 56   1.478E-05   3.601E-06
 57   1.387E-05   3.030E-06
 58   1.292E-05   2.507E-06
 59   1.195E-05   2.022E-06
 60   1.097E-05   1.559E-06
 61   9.976E-06   1.088E-06
 62   8.971E-06   6.291E-07
 63   7.999E-06   1.596E-07
