Type		STD		Rate at Bottom		Rate at Top
R		329		1.660000e-11		1.660000e-11
R		330		1.169563e-14		1.050315e-15
R		331		3.490472e-11		3.526755e-11
R		332		5.582055e-11		6.586489e-11
R		333		3.600000e-11		3.600000e-11
R		334		8.949310e-12		1.578228e-11
R		335		1.300000e-11		1.300000e-11
R		336		4.127108e-11		8.581477e-11
R		337		1.208683e-11		2.771373e-11
R		338		1.330000e-11		1.330000e-11
R		339		4.000000e-11		4.000000e-11
R		340		2.500000e-10		2.500000e-10
R		341		1.370000e-10		1.370000e-10
R		342		1.400000e-10		1.400000e-10
R		346		4.018961e-12		5.771747e-12
R		347		7.714911e-12		1.532419e-11
R		348		1.200000e-11		1.200000e-11
R		350		1.540038e-11		1.351415e-11
R		351		1.971122e-11		1.516169e-11
R		352		7.790553e-12		7.989788e-12
R		353		2.663929e-11		3.930208e-11
R		354		1.889108e-14		6.109762e-16
R		355		1.100000e-10		1.100000e-10
R		356		1.179112e-10		1.587481e-10
R		357		4.227100e-11		5.764741e-11
R		358		9.584791e-11		1.152545e-10
R		359		1.308812e-11		2.195025e-11
R		360		1.732068e-11		2.561246e-11
R		361		2.601665e-11		3.847139e-11
R		362		1.450000e-10		1.450000e-10
R		363		6.910000e-11		6.910000e-11
R		364		2.260000e-11		2.260000e-11
R		365		5.400000e-12		5.400000e-12
R		366		1.908539e-13		1.226070e-14
R		367		6.122980e-38		3.540429e-57
R		368		2.710000e-11		2.710000e-11
R		369		4.000000e-11		4.000000e-11
R		370		7.358283e-12		1.179002e-12
R		371		7.498376e-11		1.147509e-10
R		372		7.110000e-12		7.110000e-12
R		373		5.200000e-12		5.200000e-12
R		374		1.640000e-11		1.640000e-11
R		375		1.300000e-12		1.300000e-12
R		376		6.375089e-16		3.570188e-17
R		377		3.050955e-17		1.123025e-19
R		378		2.500000e-11		2.500000e-11
R		379		2.282266e-15		2.956232e-17
R		380		4.000000e-11		4.000000e-11
R		381		3.500000e-11		3.500000e-11
R		382		1.800000e-12		1.800000e-12
R		383		1.500000e-12		1.500000e-12
R		384		1.300000e-12		1.300000e-12
R		385		1.232545e-16		2.897562e-19
R		387		2.161093e-16		7.954762e-19
R		389		1.700000e-11		1.700000e-11
R		390		6.772938e-15		3.678103e-17
R		391		1.955545e-13		1.288130e-14
R		392		8.453371e-11		6.071698e-11
R		393		1.135620e-10		1.674637e-10
R		394		1.135620e-10		1.674637e-10
R		395		1.600000e-10		1.600000e-10
R		396		2.791507e-13		8.567559e-14
R		397		2.289975e-15		1.156536e-17
R		398		7.179369e-13		1.969768e-13
R		399		3.987868e-14		1.223937e-14
R		400		6.497957e-13		1.157942e-13
R		401		4.378296e-13		3.535640e-14
R		402		1.231479e-10		1.909184e-10
R		403		1.330000e-10		1.330000e-10
R		404		1.231479e-11		1.909184e-11
R		405		2.670000e-11		2.670000e-11
R		406		4.392454e-16		2.540260e-19
R		407		8.116375e-15		3.506388e-17
R		408		6.600000e-11		6.600000e-11
R		409		7.200000e-12		7.200000e-12
R		411		1.200000e-10		1.200000e-10
R		412		7.300000e-11		7.300000e-11
R		413		1.619123e-13		5.015690e-15
R		414		2.637216e-14		3.848240e-14
R		415		1.400000e-10		1.400000e-10
R		416		5.720000e-11		5.720000e-11
R		417		3.321324e-15		8.286515e-18
R		418		3.221108e-15		7.503456e-18
R		419		7.000000e-11		7.000000e-11
R		420		2.500000e-11		2.500000e-11
R		421		9.645029e-21		8.147073e-25
R		422		8.300000e-11		8.300000e-11
R		423		5.530765e-18		2.841995e-22
R		424		5.720243e-15		2.586915e-17
R		425		1.027550e-14		4.338765e-17
R		426		5.000000e-11		5.000000e-11
R		427		5.000000e-11		5.000000e-11
R		428		1.440000e-11		1.440000e-11
R		429		4.098311e-31		9.792357e-45
R		430		1.672468e-11		1.034488e-11
R		431		7.500000e-11		7.500000e-11
R		432		2.994332e-15		2.090330e-18
R		433		7.802551e-18		1.423091e-21
R		434		1.627953e-15		1.677511e-17
R		435		9.465115e-18		1.005016e-21
R		436		4.056478e-18		4.307210e-22
R		437		2.221992e-21		1.446634e-27
R		438		2.478776e-19		6.539432e-24
R		439		6.000000e-11		6.000000e-11
R		440		8.006971e-16		3.354348e-19
R		441		5.896168e-11		9.316816e-11
