# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R642	1.803833e-37
R643	4.746930e-38
R644	1.939729e-10
R645	2.563801e+11
M2	9.357462e+06
M3	8.186242e-02
M4	1.185008e+08
M5	3.332664e+02
M6	4.449204e+03
M7	7.967578e-09
M9	1.425844e-01
M10	6.177548e+04
M11	4.871881e-15
M12	7.216050e+11
M13	2.056458e+06
M14	2.260170e-05
M15	6.298253e-01
M16	2.975264e+09
M17	1.685553e+12
M18	4.825260e+04
M19	4.611134e+10
M20	1.103904e+03
M21	2.822563e+08
M22	7.216888e-07
M23	1.332466e-02
M24	6.110397e-02
M25	9.295078e-12
M26	3.806492e-01
M27	5.126693e-05
M28	6.114630e-05
M29	2.374945e-06
M31	7.468502e+11
M32	3.705485e+02
M33	4.502401e+02
M34	2.127752e+11
M35	3.810031e+12
M36	1.519260e+04
M37	5.341025e-11
M38	3.240112e-06
M39	2.564614e+11
M40	3.181685e-23
M41	1.762539e-06
M42	1.981041e-02
M43	1.414910e-02
M44	4.187528e+00
M45	1.560710e-07
M46	1.514399e+08
M47	7.289914e+03
M48	3.205336e+03
M49	1.402544e+06
M50	4.885251e+03
M51	5.875740e+04
M52	7.840201e-13
M53	2.790002e-20
M54	9.936112e-20
M55	2.687943e-48
M56	2.027849e-02
M57	7.690596e+03
M58	4.083526e-07
M73	5.193446e+00
M85	1.298016e-16
M86	6.480206e-09
M88	9.245018e+00
M89	3.120295e+12
M90	1.609132e+04
P1	5.556305e+10
P2	4.239164e+10
P3	3.428451e+11
P4	2.658115e+12
P5	3.956360e+09
P6	1.316965e+10
P7	1.531994e+11
P8	9.296020e+01
P9	2.332844e+01
P10	1.679715e+02
P11	1.518114e+04
P12	2.696841e-07
P13	2.103709e-06
P14	1.805762e+00
P15	9.906340e-03
P16	3.098428e-03
P17	2.224511e-03
P18	8.193468e+02
P19	2.230346e+02
P20	4.884141e+07
P21	3.597621e+07
P22	9.567005e-01
P23	2.130546e-01
P24	8.670479e+00
P25	8.328107e-03
P26	6.114246e-05
P27	2.267743e+01
P28	4.859450e+00
P29	4.859450e+00
P30	3.041391e+04
P31	7.276306e-12
P32	5.025593e+07
P33	6.496498e+07
P34	7.354528e+06
P35	2.286244e+10
P36	4.004789e+12
P37	1.376702e+11
P38	0.000000e+00
P39	0.000000e+00
P40	1.934043e+03
P41	1.243639e-07
P42	6.092239e-03
P43	7.593189e-19
P44	7.024935e-01
P45	2.822888e+08
P46	2.093932e+09
P47	1.735667e+10
P48	1.676246e+06
P49	4.830299e+01
P50	7.841479e+02
P51	1.452011e+08
P52	1.067487e-04
P53	7.840200e-13
P54	1.272611e-19
P56	3.174287e-05
P57	2.404960e-08
P58	2.995116e-02
P59	3.743895e-02
P60	7.487789e-03
P61	4.083349e-05
P62	7.578388e-05
P63	1.678072e-04
P64	1.461546e-04
P65	1.190890e-04
P66	3.247881e-05
P67	1.803834e-37
P68	1.295171e-16
P69	6.480192e-09
P70	3.172536e-23
P71	2.128088e-03
P72	2.958149e+02
P73	3.418797e+02
T1	1.528325e+05
T2	1.550785e-13
T3	1.547762e-08
T4	2.677630e-23
T5	1.096582e-38
T6	1.608374e-02
T7	1.550071e-09
T8	2.673706e-27
T9	7.752086e-18
T10	6.409469e-25
T11	1.449392e-24
T12	2.950938e+00
T13	5.832529e+01
T14	1.526452e-29
T15	9.730520e-26
T16	1.442536e-14
T17	1.185000e+08
T18	7.695451e+02
T19	3.583952e-34
T20	1.012343e-32
T21	5.017877e-48
T22	2.077896e-49
T23	8.417696e-15
T24	3.398969e-18
T25	1.822681e-24
T26	2.815267e-41
T27	6.840134e-14
T28	2.141297e-53
T29	5.487155e-53
T30	3.352562e-30
T31	2.966662e-08
T32	3.915960e+03
T33	3.489184e-45
T34	9.939316e-50
T35	3.896268e-50
T36	1.545185e-12
T37	1.329586e-14
T38	3.194563e-11
T40	1.694011e-36
T41	3.582911e-49
T42	1.329878e-30
T43	1.708912e+04
T44	9.289439e-03
T46	1.367846e+04
T47	2.975639e-07
T48	7.945973e-07
T49	3.259714e-06
T50	1.007158e-16
T51	5.718442e-20
T52	4.691728e-17
T53	6.592478e-06
T54	1.577690e+09
T55	1.577898e+10
T56	1.579366e+09
T57	6.756579e-79
T58	9.411179e-28
T59	2.405799e-26
T60	3.107891e-44
T91	6.531388e-39
T92	1.412808e-36
T93	9.948888e-43
