# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
P5	1.932111e+10
P6	2.519900e+12
P7	1.161883e+10
P8	4.562828e+01
P9	1.966560e-01
P10	1.450815e+00
P11	5.528320e+04
P12	3.295595e-14
P13	6.645756e-14
P14	2.984611e+01
P15	5.355833e-01
P16	1.517230e-02
P17	1.089293e-02
P18	3.498783e-01
P19	8.865663e-02
P20	6.209105e+09
P21	5.512987e+09
P22	1.308420e+04
P23	1.441660e+03
P24	1.315127e+07
P25	1.668295e-02
P26	3.426030e-04
P27	1.338738e-06
P28	2.868725e-07
P29	2.868725e-07
P30	3.275556e-19
P31	6.209603e-30
P32	1.407448e+07
P33	1.819384e+07
P34	2.059680e+06
P35	2.401429e+07
P36	1.367336e+12
P37	1.554986e+11
P38	0.000000e+00
P39	0.000000e+00
P40	3.024709e+06
P41	2.378538e-05
P42	1.629319e-03
P43	6.534094e-13
P44	7.155661e-02
P45	7.934786e-27
P46	3.553669e-16
P47	4.153253e-15
P48	7.321094e-18
P49	1.663062e-21
P50	0.000000e+00
P51	1.045526e-15
P52	1.767123e-30
P53	1.970750e-30
P54	1.379188e-64
P56	1.139740e-01
P57	4.253499e-02
P58	3.421779e-01
P59	4.277223e-01
P60	8.554447e-02
P61	1.924542e+03
P62	2.534982e+00
P63	5.613173e+00
P64	4.888893e+00
P65	3.983543e+00
P66	1.086421e+00
P67	1.372269e-45
P68	3.925731e-19
P69	5.695492e-07
P70	5.087782e-17
P71	2.228018e+01
P72	1.730888e+07
P73	2.033485e+07
T1	1.145453e+00
T2	1.018471e-17
T3	2.625107e-11
T4	5.150214e-24
T5	4.691932e-41
T6	2.910361e-05
T7	6.766144e-16
T8	6.996558e-21
T9	5.576313e-18
T10	5.136410e-20
T13	1.829924e-03
T14	2.899833e-37
T15	7.633441e-41
T16	5.731519e-40
T17	4.682876e-14
T19	1.412490e-48
T20	1.848750e-38
T21	3.315453e-41
T22	2.205842e-39
T23	6.359967e-11
T24	1.002937e-14
T25	3.674496e-27
T26	5.059191e-47
T27	2.494933e-10
T28	8.447191e-48
T29	8.374382e-46
T30	2.572215e-31
T31	8.971762e-07
T32	3.033170e+04
T33	7.081926e-38
T34	1.667976e-40
T35	7.550391e-41
T36	2.671512e-01
T37	1.293169e+00
T38	1.020088e+01
T40	1.699059e-39
T41	2.333417e-101
T42	1.552129e-81
T43	4.416816e-103
T46	2.481034e+08
T47	1.847248e+03
T48	1.358917e+00
T49	7.527625e-01
T50	1.206882e-12
T51	1.568489e-15
T52	8.697884e-15
T53	5.298042e-37
T54	3.477033e-16
T55	3.811904e-15
T56	3.550244e-16
T57	3.400537e-72
T58	1.345266e-119
T59	4.640753e-122
T60	1.075154e-93
T91	4.236057e-48
T92	4.477182e-30
T93	7.228250e-48
