Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 8.10e+12

  R309	NH	+ OH		= H2O	+ N		1.274857e-08
  R516	OH	+ HCN		= CN	+ H2O		4.200412e-09
  R326	NH2	+ OH		= H2O	+ NH		3.714702e-09
  R644	NH2	+ OH		= NH3	+ O		1.718498e-09
  R506	OH	+ CN		= H	+ CNO		6.019791e-12
  R515	OH	+ HCN		= CO	+ NH2		2.943958e-12
  R480	OH	+ C2H2		= C2H	+ H2O		3.082004e-13
  R509	OH	+ CNO		= HCNO	+ O		1.247623e-13
  R479	OH	+ C2H2		= C2H2O	+ H		7.762343e-14
  R507	OH	+ CN		= O	+ HCN		1.940449e-14
  R528	OH	+ SO		= SO2	+ H		1.313658e-15
  R40	NH	+ OH		= NH2	+ O		5.529919e-17
  M50	SO2	+ OH		= HSO3			2.771037e-17
  R527	OH	+ S		= H	+ SO		3.464873e-19
  R566	HSO3	+ OH		= H2O	+ SO3		6.138649e-20
  R574	HSO	+ OH		= H2O	+ SO		2.430760e-20
  M47	SO	+ OH		= HOSO			3.243768e-22
  R232	H2S	+ OH		= H2O	+ HS		5.115154e-24
  R473	OCS	+ OH		= CO2	+ HS		2.043098e-35
  R556	SO3	+ OH		= HO2	+ SO2		2.045050e-48
  R107	CH4S	+ OH		= H2O	+ CH3S		0.000000e+00
  M37	OH	+ C2H2		= C2H3O			0.000000e+00

************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 4.11e+12

  R441	O	+ HO2		= OH	+ O2		1.400349e+12
  P4	O3			= O2	+ O(1D)		1.054630e+12
  R445	O	+ OH		= O2	+ H		7.510151e+11
  R522	OH	+ HO2		= H2O	+ O2		4.186589e+11
  P3	O3			= O2	+ O		1.681658e+11
  M34	O	+ O		= O2			1.279780e+11
  R182	H	+ HO2		= H2	+ O2		7.606137e+10
  R192	H	+ O3		= OH	+ O2		6.754806e+10
  R257	HO2	+ HO2		= H2O2	+ O2		3.813006e+10
  M19	HO2	+ HO2		= H2O2	+ O2		6.894407e+09
  R500	OH	+ CH3O2		= CH4O	+ O2		1.804501e+08
  R422	O	+ CH3O2		= CH3O	+ O2		1.079531e+08
  R254	HO2	+ CH3O2		= CH4O2	+ O2		7.939133e+07
  R444	O	+ O3		= O2	+ O2		3.275572e+07 (x2)
  R464	O(1D)	+ O2		= O	+ O2		1.095918e+07
  R525	OH	+ O3		= HO2	+ O2		5.480745e+06
  R261	HO2	+ O3		= OH	+ O2	+ O2	1.046721e+06 (x2)
  R420	O	+ CH3O		= CH3	+ O2		6.986751e+05
  R470	O3	+ CH3		= CH3O	+ O2		4.882486e+04
  R85	CH3O2	+ CH3O2		= CH3O	+ CH3O	+ O2	1.621647e+03
  R86	CH3O2	+ CH3O2		= CH4O	+ CH2O	+ O2	9.894792e+02
  R465	O(1D)	+ O3		= O2	+ O2		5.365605e+02 (x2)
  R466	O(1D)	+ O3		= O2	+ O	+ O	5.365605e+02
  R251	HO2	+ C2H5		= C2H6	+ O2		1.887654e+02
  T1	O3			= O2	+ O		7.371291e+01
  M90	O	+ NO2		= NO	+ O2		5.207434e+01
  R471	O3	+ CH3O		= CH3O2	+ O2		3.158182e+01
