Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       255.26562     0.033674410
       255.35008     0.022745736
       255.42521     0.022887587
       255.45008     0.022993231
       255.52521     0.023555916
       255.79020     0.023062161
       255.89020     0.022335722
       255.91257     0.022268963
       255.99886     0.021667061
       256.01257     0.021582413
       256.05501     0.021458532
       256.09886     0.021164110
       256.15501     0.021478305
       256.32968       2.7139385
       256.41989     0.027485270
       256.51989      0.69230904
       256.64157     0.026308737
       256.71898     0.028106062
       256.74157     0.029207878
       256.76826     0.029329185
       256.81898     0.030584402
       256.82581     0.031038448
       256.86179     0.031390628
       256.86239     0.031347290
       256.86826     0.031550046
       256.92581     0.032538685
       256.96179     0.033381051
       256.96239     0.033265955
       257.22706     0.038335400
       257.32549     0.040308812
       257.32706     0.040401734
       257.36168     0.040794348
       257.42549     0.042237675
       257.46168     0.042707092
       257.48530     0.043241425
       257.53925     0.044096082
       257.58530     0.045279331
       257.63925     0.046387397
       257.71335      0.68976317
       257.81335     0.050373253
       258.00000      0.49068186
       258.11707     0.055449802
       258.20838     0.056963937
       258.21765     0.057583757
       258.80570     0.071482544
       258.90570     0.074541821
       259.00648     0.052808034
       259.10648     0.067158347
       259.21511     0.056454686
       259.29455       1.2998702
       259.31511     0.059033699
       259.39455     0.059758543
       259.46785     0.094493079
       259.53923      0.23966245
       259.54038      0.25947768
       259.82401     0.069807165
       259.91580     0.071994613
       260.01580     0.074541821
       260.05988      0.17084411
       260.12772     0.077947107
       260.15988      0.79323159
       260.22772      0.16512012
       260.29831     0.090761152
       260.38893     0.086020111
       260.44800     0.098832550
       260.48857     0.088267332
       260.52380       2.9757744
       260.54653     0.090698478
       260.55597     0.091201084
       260.62380     0.093196585
       260.91919     0.083444939
       261.02387     0.082356902
       261.15948      0.11484180
       261.19868      0.11625188
       261.25948      0.11989470
       261.29868      0.11160920
       261.31781      0.10749790
       261.41781     0.069775025
       261.78524     0.020017047
       261.84509       14.285650
       261.94358     0.020974905
       261.97769     0.020844909
       262.00000     0.021305906
       262.07845     0.021409178
       262.11054     0.024104604
       262.17845     0.021712008
       262.40571    0.0036441815
       262.47504     0.017346026
       262.54255     0.028379190
       262.54678     0.026601125
       262.57504      0.71647328
       262.61670    0.0035974934
       262.62104    0.0067639439
       262.64255     0.014437766
       262.82867    0.0034103582
       262.88095     0.013125021
       263.44942     0.017721480
       263.69420    0.0076577291
       263.72709     0.012568979
       263.77292    0.0049056889
       263.81704     0.017052969
       263.86139     0.064239182
       264.25815    0.0055500897
       264.32511    0.0055898480
       264.33721     0.030248232
       264.34571     0.016413455
       264.47214    0.0088674756
       264.48064     0.012519875
