Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       249.73129       3.5900459
       249.83129      0.51191753
       249.88462      0.39810717
       249.96234      0.34268887
       249.98462      0.33006540
       250.00000      0.32092238
       250.06234      0.42648131
       250.12100       4.5603692
       250.23569      0.21335361
       250.33569      0.19138152
       250.51210      0.17234552
       250.51687      0.18302061
       251.37249      0.12226439
       252.32211      0.10604739
       252.42211      0.10979941
       252.49547       21.120296
       252.59547      0.11117317
       252.75977       66.343748
       252.85977      0.11399873
       252.94798      0.11689609
       253.08203      0.16865530
       253.10381       2.5480034
       253.11493      0.12022644
       253.12256      0.11994993
       253.21493      0.12280046
       253.22256      0.11906935
       253.54794      0.17135627
       254.00000      0.13061709
       254.18115      0.13608179
       254.31367      0.14210194
       254.33851      0.14197112
       254.45247       18.340028
       254.47119      0.14706184
       254.55247      0.15031420
       254.70400      0.15667511
       254.70439      0.15667511
       254.80400      0.16125010
       254.80439      0.15852582
       254.88371       134.89629
       254.98371      0.16626468
       255.03548      0.16734009
       255.03935      0.17538805
       255.13548      0.17274282
       255.16495      0.24507556
       255.25005      0.17786889
       255.25910      0.17852539
       255.26562      0.31856642
       255.35008      0.18522517
       255.42521      0.18689600
       255.45008      0.18988908
       255.52521      0.19810708
       255.79020      0.20931483
       255.89020      0.21130024
       255.91257      0.21379621
       255.99886      0.21807205
       256.01257      0.21892734
       256.05501      0.22171751
       256.09886      0.22351157
       256.15501      0.23393758
       256.32968       23.534230
       256.41989      0.27472615
       256.51989       7.5370258
       256.64157      0.26272415
       256.71898      0.26933947
       256.74157      0.27809937
       256.76826      0.27422055
       256.81898      0.28366124
       256.82581      0.28608824
       256.86179      0.28015605
       256.86239      0.28015605
       256.86826      0.28080187
       256.92581      0.28536454
       256.96179      0.28707806
       256.96239      0.28562749
       257.22706      0.31181715
       257.32549      0.32389183
       257.32706      0.32396642
       257.36168      0.32734069
       257.42549      0.33504258
       257.46168      0.33923449
       257.48530      0.34237339
       257.53925      0.34889922
       257.58530      0.35554944
       257.63925      0.36316167
       257.71335       12.181478
       257.81335      0.39646057
       258.00000       5.0699071
       258.11707      0.42687429
       258.20838      0.44085929
       258.21765      0.44279224
       258.80570      0.54375091
       258.90570      0.56454686
       259.00648      0.35050967
       259.10648      0.51617861
       259.21511      0.38229622
       259.29455       13.883533
       259.31511      0.39102093
       259.39455      0.38850803
       259.46785      0.46408764
       259.53923       1.8676694
       259.54038       1.9865523
       259.82401      0.46004467
       259.91580      0.46946152
       260.01580      0.49011726
       260.05988       1.7002000
       260.12772      0.50442895
       260.15988       7.8234804
       260.22772       1.4825181
       260.29831      0.71779429
       260.38893      0.55731406
       260.44800      0.71944898
       260.48857      0.57477782
       260.52380       31.499235
       260.54653      0.58952198
       260.55597      0.59237947
       260.62380      0.60283714
       260.91919      0.65599420
       261.02387      0.79469412
       261.15948      0.73909455
       261.19868      0.75006690
       261.25948      0.76877632
       261.29868      0.70404432
       261.31781      0.88981557
       261.41781      0.40916643
       261.78524     0.066849783
       261.84509       174.18069
       261.94358     0.068754321
